kind,name,meta_model,accuracy,precision,recall,auc,tpr_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
stacking,"rf,xgb",logreg,0.9452,0.9553528564570332,0.9783677482792527,0.9843508003426725,0.8102261553588987,373,93,44,1990,0.19957081545064378,0.021632251720747297
stacking,"svm,lr,rf,xgb",logreg,0.9476,0.9576719576719577,0.9788593903638152,0.9841851612712641,0.8171091445427728,378,88,43,1991,0.1888412017167382,0.021140609636184856
stacking,"svm,rf,xgb",logreg,0.9472,0.9576515880654476,0.9783677482792527,0.9841155295597166,0.827433628318584,378,88,44,1990,0.1888412017167382,0.021632251720747297
stacking,"lr,rf,xgb",logreg,0.9472,0.9572115384615385,0.9788593903638152,0.98407121847055,0.8195673549655851,377,89,43,1991,0.19098712446351931,0.021140609636184856
stacking,"svm,lr,rf",logreg,0.9412,0.954260953298026,0.9744346116027532,0.9820487337578758,0.8126843657817109,371,95,52,1982,0.20386266094420602,0.025565388397246803
stacking,"svm,rf",logreg,0.9408,0.9538017324350336,0.9744346116027532,0.9819221306459712,0.8200589970501475,370,96,52,1982,0.20600858369098712,0.025565388397246803
stacking,"lr,rf",logreg,0.9404,0.9533429533429534,0.9744346116027532,0.9818419486750984,0.8156342182890856,369,97,52,1982,0.20815450643776823,0.025565388397246803
stacking,"svm,xgb",logreg,0.9476,0.9567930868939031,0.97984267453294,0.9808048581834142,0.7531956735496559,376,90,41,1993,0.19313304721030042,0.02015732546705998
stacking,"lr,xgb",logreg,0.9484,0.9581529581529582,0.9793510324483776,0.9807447217052596,0.7586037364798427,379,87,42,1992,0.18669527896995708,0.02064896755162242
stacking,"svm,lr,xgb",logreg,0.948,0.9576923076923077,0.9793510324483776,0.9807341714459341,0.7581120943952803,378,88,42,1992,0.1888412017167382,0.02064896755162242
stacking,"svm,lr",logreg,0.9248,0.9433237271853987,0.9655850540806293,0.9648328205907302,0.6219272369714848,348,118,70,1964,0.2532188841201717,0.0344149459193707
