fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
1,8000,2000,6466,1617,0.9495,0.9560770156438027,0.9826839826839827,0.9879236764727254,0.8324056895485467,0.981509804725647,310,73,28,1589,0.1906005221932115,0.017316017316017316
2,8000,2000,6466,1617,0.948,0.9554485249849488,0.9814471243042672,0.9838304179967737,0.7736549165120594,0.9898959398269653,309,74,30,1587,0.19321148825065274,0.01855287569573284
3,8000,2000,6466,1617,0.9575,0.9670731707317073,0.9808286951144094,0.9861894912249258,0.7637600494743352,0.9923170804977417,329,54,31,1586,0.1409921671018277,0.0191713048855906
4,8000,2000,6467,1616,0.956,0.9624697336561744,0.9839108910891089,0.9886599499793729,0.8681930693069307,0.9700339436531067,322,62,26,1590,0.16145833333333334,0.01608910891089109
5,8000,2000,6467,1616,0.9495,0.9650092081031307,0.9727722772277227,0.9853773463283829,0.8162128712871287,0.9822975397109985,327,57,44,1572,0.1484375,0.027227722772277228
6,8000,2000,6466,1617,0.952,0.9584086799276673,0.9833024118738405,0.9878380974986719,0.8484848484848485,0.9787594676017761,314,69,27,1590,0.1801566579634465,0.016697588126159554
7,8000,2000,6466,1617,0.9435,0.9546553808948005,0.9764996907854051,0.9830440602540564,0.8027210884353742,0.9865439534187317,308,75,38,1579,0.195822454308094,0.02350030921459493
8,8000,2000,6466,1617,0.9515,0.9600484261501211,0.9808286951144094,0.9839208410636983,0.7761286332714904,0.9920469522476196,317,66,31,1586,0.17232375979112272,0.0191713048855906
9,8000,2000,6467,1616,0.9525,0.9606299212598425,0.9814356435643564,0.9843379357466997,0.8131188118811881,0.9846125841140747,319,65,30,1586,0.16927083333333334,0.018564356435643563
10,8000,2000,6467,1616,0.953,0.965158924205379,0.9771039603960396,0.988213567450495,0.8681930693069307,0.9677379727363586,327,57,37,1579,0.1484375,0.022896039603960396
11,8000,2000,6466,1617,0.9565,0.9586330935251799,0.9888682745825603,0.9877476744317475,0.8138528138528138,0.9863026738166809,314,69,18,1599,0.1801566579634465,0.011131725417439703
12,8000,2000,6466,1617,0.9575,0.9699386503067484,0.9777365491651205,0.9889829181138393,0.7922077922077922,0.9875468611717224,334,49,36,1581,0.1279373368146214,0.022263450834879406
13,8000,2000,6466,1617,0.9395,0.9538834951456311,0.9721706864564007,0.9806155550280876,0.769325912183055,0.9897388815879822,307,76,45,1572,0.19843342036553524,0.027829313543599257
14,8000,2000,6467,1616,0.9475,0.9592705167173252,0.9764851485148515,0.9843862804249175,0.8261138613861386,0.9810836911201477,317,67,38,1578,0.17447916666666666,0.023514851485148515
15,8000,2000,6467,1616,0.954,0.9612590799031477,0.9826732673267327,0.9892288056930694,0.879950495049505,0.9704442024230957,320,64,28,1588,0.16666666666666666,0.017326732673267328
