trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight,gamma,accuracy,auc,tpr_at_fpr1pct,precision,recall,tn,fp,fn,tp
10,700,8,0.05,0.8,0.9,0.5,2,0.0,0.9532,0.9867931853764965,0.8289085545722714,0.9637155297532656,0.9793510324483776,391,75,42,1992
23,500,4,0.1,0.8,0.8,0.5,1,0.0,0.9484,0.9866127759420326,0.8289085545722714,0.9599227426364075,0.9773844641101278,383,83,46,1988
14,900,8,0.02,0.7,0.7,1.0,2,0.5,0.9512,0.986238241735982,0.8121927236971485,0.9618357487922705,0.9788593903638152,387,79,43,1991
21,700,10,0.03,0.9,1.0,1.0,2,0.3,0.9512,0.9860979232869544,0.8461160275319567,0.9613899613899614,0.9793510324483776,386,80,42,1992
7,500,10,0.03,0.7,0.7,1.0,4,0.0,0.9476,0.9860852629757639,0.7940019665683382,0.9598840019333011,0.976401179941003,383,83,48,1986
12,700,8,0.08,0.8,0.9,1.0,2,1.0,0.9516,0.9858858630745143,0.8053097345132744,0.9609638554216867,0.9803343166175025,385,81,40,1994
13,900,6,0.1,1.0,1.0,2.0,2,0.1,0.95,0.9858521022446732,0.8515240904621436,0.9613339777670372,0.9778761061946902,386,80,45,1989
11,500,8,0.05,0.7,0.8,8.0,4,0.1,0.948,0.9855134389203286,0.7782694198623402,0.9599033816425121,0.9768928220255654,383,83,47,1987
2,250,10,0.08,0.7,0.7,0.5,2,0.1,0.9496,0.9853689003675711,0.8171091445427728,0.9613152804642167,0.9773844641101278,386,80,46,1988
6,500,4,0.08,0.7,1.0,0.5,4,1.0,0.95,0.9853351395377298,0.8023598820058997,0.9613339777670372,0.9778761061946902,386,80,45,1989
22,700,6,0.08,1.0,0.7,1.0,2,0.0,0.9496,0.9851747755959842,0.8303834808259587,0.9613152804642167,0.9773844641101278,386,80,46,1988
3,900,10,0.02,0.8,1.0,1.0,8,1.0,0.9476,0.9851515650254684,0.8244837758112095,0.9589966232513266,0.9773844641101278,381,85,46,1988
9,500,5,0.05,0.7,0.8,8.0,2,0.1,0.9468,0.9850597777693376,0.8146509341199607,0.9589570255915016,0.976401179941003,381,85,48,1986
20,400,10,0.02,0.7,1.0,0.5,2,0.1,0.9508,0.9849416148648934,0.8136676499508357,0.9587133941430629,0.9818092428711898,380,86,37,1997
19,500,8,0.02,0.7,0.9,2.0,2,0.0,0.9496,0.9848878085423339,0.8048180924287119,0.9590952839268527,0.97984267453294,381,85,41,1993
16,250,4,0.1,0.9,0.9,0.5,4,0.5,0.9448,0.9846388224222551,0.8470993117010817,0.9566473988439307,0.976401179941003,376,90,48,1986
8,400,4,0.08,0.9,1.0,2.0,2,0.3,0.9436,0.9845670806588426,0.7944936086529006,0.9561445783132531,0.9754178957718781,375,91,50,1984
18,900,10,0.03,0.8,0.9,1.0,1,1.0,0.9512,0.9844056616911644,0.8244837758112095,0.9596153846153846,0.9813176007866273,382,84,38,1996
17,400,8,0.02,0.9,0.8,8.0,1,0.3,0.946,0.983325315136246,0.827433628318584,0.9553956834532374,0.9793510324483776,373,93,42,1992
1,250,4,0.05,0.8,0.8,1.0,1,1.0,0.9444,0.9825382657905732,0.8146509341199607,0.9535662996649115,0.9793510324483776,369,97,42,1992
4,500,4,0.03,1.0,0.9,2.0,2,0.1,0.9416,0.982212262777419,0.8264503441494592,0.9512428298279159,0.9783677482792527,364,102,44,1990
15,900,4,0.08,1.0,1.0,8.0,4,1.0,0.9416,0.9808744898949616,0.8151425762045231,0.9538461538461539,0.9754178957718781,370,96,50,1984
5,500,4,0.02,1.0,0.7,2.0,4,1.0,0.9396,0.9791178717172868,0.7940019665683382,0.9476937708036138,0.97984267453294,356,110,41,1993
24,400,4,0.02,0.9,0.7,8.0,2,0.3,0.9396,0.9770352505264579,0.7733529990167158,0.9476937708036138,0.97984267453294,356,110,41,1993
