trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight,gamma,accuracy,auc,tpr_at_fpr1pct,precision,recall,tn,fp,fn,tp
14,900,8,0.02,0.7,0.7,1.0,2,0.5,0.9524,0.9883567338085171,0.8628318584070797,0.9627839536007733,0.9793510324483776,389,77,42,1992
10,700,8,0.05,0.8,0.9,0.5,2,0.0,0.9556,0.9882712767079815,0.8613569321533924,0.965166908563135,0.9808259587020649,394,72,39,1995
22,700,6,0.08,1.0,0.7,1.0,2,0.0,0.9532,0.988099307480978,0.8431661750245821,0.9632672788786854,0.97984267453294,390,76,41,1993
13,900,6,0.1,1.0,1.0,2.0,2,0.1,0.9548,0.987852431412764,0.8662733529990168,0.9637856108160309,0.9813176007866273,391,75,38,1996
8,400,4,0.08,0.9,1.0,2.0,2,0.3,0.9556,0.9877026177303438,0.8436578171091446,0.9656174334140436,0.9803343166175025,395,71,40,1994
2,250,10,0.08,0.7,0.7,0.5,2,0.1,0.9536,0.9876530315115146,0.8613569321533924,0.9623915139826422,0.9813176007866273,388,78,38,1996
12,700,8,0.08,0.8,0.9,1.0,2,1.0,0.9556,0.9875992251889552,0.8623402163225172,0.9660688317983519,0.97984267453294,396,70,41,1993
11,500,8,0.05,0.7,0.8,8.0,4,0.1,0.9528,0.9875306485033403,0.844149459193707,0.9636979670861568,0.9788593903638152,391,75,43,1991
7,500,10,0.03,0.7,0.7,1.0,4,0.0,0.9548,0.987506382906892,0.8480825958702065,0.9628915662650602,0.9823008849557522,389,77,36,1998
21,700,10,0.03,0.9,1.0,1.0,2,0.3,0.9536,0.9874541591232313,0.8451327433628318,0.9637330754352031,0.97984267453294,391,75,41,1993
16,250,4,0.1,0.9,0.9,0.5,4,0.5,0.9516,0.9873396888095509,0.859882005899705,0.9618541767262192,0.9793510324483776,387,79,42,1992
9,500,5,0.05,0.7,0.8,8.0,2,0.1,0.9544,0.9871677195825473,0.8549655850540806,0.9646660212971926,0.97984267453294,393,73,41,1993
6,500,4,0.08,0.7,1.0,0.5,4,1.0,0.9532,0.9871413439342339,0.8421828908554573,0.9628198937711251,0.9803343166175025,389,77,40,1994
23,500,4,0.1,0.8,0.8,0.5,1,0.0,0.9516,0.9870907026894722,0.8333333333333334,0.9614085865894838,0.97984267453294,386,80,41,1993
20,400,10,0.02,0.7,1.0,0.5,2,0.1,0.9528,0.9869894201999486,0.8623402163225172,0.9610202117420596,0.9818092428711898,385,81,37,1997
3,900,10,0.02,0.8,1.0,1.0,8,1.0,0.9544,0.9868702022695719,0.8529990167158309,0.9633204633204633,0.9813176007866273,390,76,38,1996
19,500,8,0.02,0.7,0.9,2.0,2,0.0,0.9528,0.986664472212727,0.852015732546706,0.9610202117420596,0.9818092428711898,385,81,37,1997
18,900,10,0.03,0.8,0.9,1.0,1,1.0,0.9496,0.9865357590489574,0.8461160275319567,0.9573346116970278,0.9818092428711898,377,89,37,1997
17,400,8,0.02,0.9,0.8,8.0,1,0.3,0.9492,0.9855049987128685,0.8569321533923304,0.9573141486810551,0.9813176007866273,377,89,38,1996
1,250,4,0.05,0.8,0.8,1.0,1,1.0,0.9464,0.9848413874013023,0.8549655850540806,0.9576107899807321,0.9773844641101278,378,88,46,1988
4,500,4,0.03,1.0,0.9,2.0,2,0.1,0.9452,0.9839836513181495,0.8333333333333334,0.9575494452484322,0.9759095378564405,378,88,49,1985
15,900,4,0.08,1.0,1.0,8.0,4,1.0,0.9468,0.9839720460328913,0.8382497541789578,0.9585142305836951,0.9768928220255654,380,86,47,1987
5,500,4,0.02,1.0,0.7,2.0,4,1.0,0.9436,0.9823304256818634,0.811701081612586,0.9543927028324531,0.9773844641101278,371,95,46,1988
24,400,4,0.02,0.9,0.7,8.0,2,0.3,0.9424,0.9802298690501813,0.7999016715830876,0.9525862068965517,0.9778761061946902,367,99,45,1989
