iteration,status,is_success,trial_dir,n_new_features,feature_names,policy_excerpt,rationale_excerpt,error,metric_accuracy,metric_precision,metric_recall,metric_auc,metric_fpr,metric_fnr,metric_tpr_at_fpr1pct,metric_tn,metric_fp,metric_fn,metric_tp,delta_accuracy,delta_recall,delta_auc,delta_tpr_at_fpr1pct
0,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_000_seed,6,"dominant_type_share,p90_long_over_bin_long,p90_mid_over_bin_mid,thin_item_share,max_face_area_load_over_floor,tight_bin_large_piece_interaction","Keep focusing on compact, interpretable item-distribution features with explicit tree-inspired threshold and interaction structure.  Near-term hypothesis: 1. repeated-type concentration matters because many identical pieces can be    easier",This seed candidate intentionally uses a small set of explainable item-distribution features:  - `dominant_type_share` captures repetition versus heterogeneity at   dispatch level. - `p90_long_over_bin_long` and `p90_mid_over_bin_mid` empha,,0.9332,0.941371158392435,0.9788593903638152,0.9720935090584528,0.26609442060085836,0.021140609636184856,0.7138643067846607,342.0,124.0,43.0,1991.0,0.005600000000000049,0.010816125860373726,0.00695367592135443,0.07915437561455252
1,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_001,3,"volume_top3_share,multi_dim_near_limit_share,side_wall_area_load",,,,0.932,0.9417061611374408,0.9768928220255654,0.9718730086385523,0.26394849785407726,0.023107177974434612,0.7069813176007866,343.0,123.0,47.0,1987.0,0.0044000000000000705,0.008849557522123908,0.006733175501453914,0.07227138643067843
2,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_002,3,"spare_x_count,near_limit_long_share,vol_cv","- Focus on slack-pressure interactions: the two strongest SVM features (spare_capacity +13.6, sku_counts -10.6) suggest a nonlinear interaction when both are in adverse regimes simultaneously. - Add a thresholded near-limit count share for ","- **spare_x_count**: The SVM's two strongest features (spare_capacity +13.6, sku_counts -10.6) have opposing directions. Trees can split on their combination (low spare + high count = very infeasible), but a linear SVM needs the explicit in",,0.9316,0.9425178147268408,0.9754178957718781,0.9740031059963454,0.259656652360515,0.024582104228121928,0.7079646017699115,345.0,121.0,50.0,1984.0,0.0040000000000000036,0.007374631268436627,0.00886327285924704,0.07325467059980328
3,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_003,3,"height_pressure_share,long_wide_item_share,spare_x_volcv",,,,0.9324,0.9417337754618664,0.9773844641101278,0.9752860175303109,0.26394849785407726,0.02261553588987217,0.7197640117994101,343.0,123.0,46.0,1988.0,0.0048000000000000265,0.009341199606686335,0.010146184393212465,0.08505408062930186
4,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_004,3,"spare_x_wlmax,total_footprint_ratio,cross_dim_pressure_count",,,,0.9328,0.9430199430199431,0.976401179941003,0.9748692822869585,0.2575107296137339,0.02359882005899705,0.711897738446411,346.0,120.0,48.0,1986.0,0.005199999999999982,0.00835791543756148,0.00972944914986007,0.07718780727630281
5,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_005,3,"two_dim_large_share,spare_x_p90long,cube_item_share","- Target the two-dimensional coupling gap: current bank has single-dimension pressure (near_limit_long_share, p90_long) but no feature capturing items large in **both** long and mid dimensions simultaneously. - Add a spare × p90_long intera",- **two_dim_large_share** captures dimensional coupling at the item level: items large in both long and mid dimensions simultaneously consume floor space in two directions and cannot be nested around each other. This is distinct from near_l,,0.9328,0.9430199430199431,0.976401179941003,0.9757713294592782,0.2575107296137339,0.02359882005899705,0.7463126843657817,346.0,120.0,48.0,1986.0,0.005199999999999982,0.00835791543756148,0.010631496322179856,0.11160275319567348
6,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_006,3,"near_limit_mid_share,spare_x_avgvol,long_thin_item_share",,,,0.9356,0.9465903671912256,0.9759095378564405,0.9757882098741986,0.24034334763948498,0.024090462143559487,0.7664700098328416,354.0,112.0,49.0,1985.0,0.008000000000000007,0.007866273352999054,0.010648376737100174,0.13176007866273343
7,failed,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_007,0,,,,ValueError: Candidate code must define build_candidate_features,,,,,,,,,,,,,,,
8,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_008,3,"near_limit_short_share,fragile_share,spare_x_fragile","- Add short-dimension near-limit share to complete the near_limit_* dimension coverage gap (long and mid exist, short is missing). - Introduce fragile-item share as a novel signal from the completely unused `if_fragile` column — fragile ite","- **near_limit_short_share** completes the near-limit dimension trilogy (long, mid, short). The short dimension maps to vertical stacking height; items consuming most of vehicle_height resist efficient layering. This gap is visible in the a",,0.9356,0.9465903671912256,0.9759095378564405,0.9757882098741986,0.24034334763948498,0.024090462143559487,0.7664700098328416,354.0,112.0,49.0,1985.0,0.008000000000000007,0.007866273352999054,0.010648376737100174,0.13176007866273343
9,failed,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search/by_model/glm-5.1/exp_20260513_235323/trials/iter_009,0,,,,KeyError: 'vehicle_length',,,,,,,,,,,,,,,
