iteration,status,is_success,trial_dir,n_new_features,feature_names,policy_excerpt,rationale_excerpt,error,metric_accuracy,metric_precision,metric_recall,metric_auc,metric_fpr,metric_fnr,metric_tpr_at_fpr1pct,metric_tn,metric_fp,metric_fn,metric_tp,delta_accuracy,delta_recall,delta_auc,delta_tpr_at_fpr1pct
1,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_001,5,"tall_item_share,volume_tail_ratio,fragile_share,flat_item_share,dim_l_p90_to_vh",,,,0.9352,0.95,0.9714847590953786,0.9690128333354434,0.22317596566523606,0.028515240904621434,0.6415929203539823,362.0,104.0,58.0,1976.0,0.007600000000000051,0.0034414945919371,0.0038730001983450224,0.006882989183874089
2,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_002,3,"floor_area_pressure,long_item_share,cubic_item_share","- Add geometric bottleneck signals that address packing dimensions not yet covered by the active bank: floor-space pressure, length-direction constraints, and item shape difficulty. - The active bank covers tall items, volume tails, fragile","- **floor_area_pressure** captures 2D floor-space competition: when the sum of minimal footprints exceeds the vehicle floor, stacking is forced, which is risky for fragile or load-constrained items. This is orthogonal to the existing `spare",,0.9332,0.9481517042726836,0.9709931170108161,0.9691246660842924,0.2317596566523605,0.029006882989183875,0.6263520157325467,358.0,108.0,59.0,1975.0,0.005600000000000049,0.002949852507374673,0.003984832947193984,-0.00835791543756148
3,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_003,3,"spare_vol_per_item,bulky_item_share,dim_m_p90_to_vw",,,,0.9332,0.9494463168030813,0.9695181907571289,0.9703896421774048,0.22532188841201717,0.03048180924287119,0.6376597836774828,361.0,105.0,62.0,1972.0,0.005600000000000049,0.001474926253687392,0.0052498090403063635,0.002949852507374562
4,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_004,3,"dim_s_p90_to_vh,two_dim_large_share,aspect_cv",- Add the missing smallest-dimension percentile signal (`dim_s_p90_to_vh`) to complete the sorted-dimension coverage alongside existing `dim_l_p90_to_vh` and `dim_m_p90_to_vw`. - Introduce a cross-dimension pressure feature (`two_dim_large_,"- `dim_s_p90_to_vh` completes the sorted-dimension percentile triad (dim_s, dim_m, dim_l → vh, vw, vh). Items with thick minimum dimensions resist nesting and vertical stacking; this signal is orthogonal to the existing dim_l and dim_m perc",,0.9332,0.9481517042726836,0.9709931170108161,0.9707937171095664,0.2317596566523605,0.029006882989183875,0.6307767944936087,358.0,108.0,59.0,1975.0,0.005600000000000049,0.002949852507374673,0.005653883972468021,-0.003933136676499527
5,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_005,3,"height_layer_pressure,footprint_sum_ratio,length_sum_pressure",- Add dimensional pressure features capturing stacking difficulty and floor competition - Focus on sum-based pressure signals rather than percentile/average ratios already in the bank - height_layer_pressure captures vertical stacking deman,"- height_layer_pressure: Sum of dim_s over vehicle height estimates vertical stacking layers; high values mean items must stack tall, making packing harder. Unlike dim_s_p90_to_vh (rejected iter 4), this captures cumulative pressure from al",,0.9344,0.9495192307692307,0.9709931170108161,0.9704445035258966,0.22532188841201717,0.029006882989183875,0.63913470993117,361.0,105.0,59.0,1975.0,0.006800000000000028,0.002949852507374673,0.005304670388798227,0.004424778761061843
6,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_006,3,"pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction",- Add non-linear interaction features that the linear SVM cannot capture on its own - Focus on the multiplicative pressure interaction between vertical stacking and floor coverage - Introduce a worst-case single-item bottleneck against the ,"- **pressure_product**: The active bank already has `height_layer_pressure` and `footprint_sum_ratio` as separate linear terms, but packing difficulty is multiplicative—when both vertical and floor pressure are high simultaneously, feasibil",,0.9336,0.9490384615384615,0.9705014749262537,0.971907824494326,0.22746781115879827,0.029498525073746312,0.6533923303834809,360.0,106.0,60.0,1974.0,0.006000000000000005,0.002458210422812246,0.00676799135722761,0.01868239921337267
7,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_007,3,"load_param_max,dim_m_sum_to_vw,awkward_floor_share",,,,0.932,0.9467881112176414,0.9709931170108161,0.9725661606762294,0.23819742489270387,0.029006882989183875,0.6661750245821042,355.0,111.0,59.0,1975.0,0.0044000000000000705,0.002949852507374673,0.007426327539130972,0.03146509341199599
8,accepted,True,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_008,3,"dim_l_max_to_vl,width_dominant_share,dual_dominant_share",,,,0.9312,0.9467370441458733,0.9700098328416913,0.9730778482535101,0.23819742489270387,0.02999016715830875,0.672566371681416,355.0,111.0,61.0,1973.0,0.0036000000000000476,0.001966568338249819,0.007938015116411679,0.037856440511307765
9,rejected,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_009,3,"load_param_mean,fragile_volume_share,dim_m_max_to_vh","- Add features that capture **average stacking constraint** (complementing the existing max), **volume-weighted fragility** (large fragile items are doubly problematic), and **worst-case vertical orientation bottleneck** (items whose medium","- **load_param_mean**: The active bank has `load_param_max` (worst-case stacking constraint), but the average load parameter captures the pervasive stacking difficulty across all items. A dispatch where most items have moderate load limits ",,0.9316,0.9471915506481037,0.9700098328416913,0.9730124366456928,0.23605150214592274,0.02999016715830875,0.6740412979351033,356.0,110.0,61.0,1973.0,0.0040000000000000036,0.001966568338249819,0.007872603508594422,0.039331366764995046
10,failed,False,/Users/zhongxiaochuan/Operation-Research/HybridSVM/experiments_feature_search_domain_only_clean/by_model/glm-5.1/exp_20260518_222253/trials/iter_010,0,,,,"TypeError: Index(...) must be called with a collection of some kind, 'fragile_floor_demand' was passed",,,,,,,,,,,,,,,
