ID,ReturnValue,Time
0,0,37
1,1,7
2,1,7
3,1,23
4,1,10
5,1,20
6,1,4
7,0,141
8,-1,2014
9,1,7
10,1,1428
11,1,6
12,1,8
13,0,3
14,0,6
15,-1,2007
16,1,3
17,-1,2010
18,1,4
19,-1,2011
20,1,109
21,1,6
22,1,4
23,1,4
24,0,172
25,1,5
26,1,320
27,1,1
28,1,1
29,0,5
30,1,7
31,-1,2006
32,1,1173
33,0,1349
34,1,6
35,1,96
36,1,6
37,0,6
38,0,6
39,1,11
40,1,5
41,1,4
42,1,4
43,1,127
44,1,8
45,1,6
46,1,5
47,0,5
48,1,60
49,1,7
50,1,8
51,1,142
52,1,6
53,1,57
54,1,23
55,1,15
56,1,17
57,1,7
58,1,5
59,1,5
60,1,48
61,1,4
62,1,19
63,1,5
64,0,96
65,1,1265
66,1,91
67,1,5
68,1,3
69,1,2
70,1,25
71,1,15
72,1,16
73,1,14
74,1,45
75,1,18
76,1,17
77,1,29
78,1,38
79,1,6
80,1,49
81,1,17
82,1,38
83,1,39
84,1,42
85,1,3
86,0,4
87,0,1733
88,0,11
89,1,4
90,1,66
91,0,3
92,0,8
93,1,30
94,0,48
95,1,8
96,1,14
97,1,74
98,1,15
99,1,11
100,0,112
101,1,6
102,1,9
103,1,9
104,1,4
105,0,5
106,1,257
107,1,7
108,1,7
109,1,6
110,1,5
111,1,4
112,1,9
113,1,99
114,1,4
115,1,6
116,1,28
117,0,3
118,1,8
119,1,104
120,0,4
121,1,7
122,1,21
123,1,68
124,-1,2010
125,1,25
126,1,2
127,1,5
128,0,4
129,0,6
130,1,13
131,1,19
132,1,8
133,1,5
134,1,7
135,1,8
136,1,12
137,1,7
138,1,5
139,1,6
140,1,12
141,0,5
142,1,11
143,1,7
144,1,5
145,1,22
146,1,10
147,1,10
148,1,12
149,0,4
150,1,15
151,1,10
152,1,21
153,0,3
154,0,8
155,1,14
156,1,6
157,1,4
158,1,9
159,1,30
160,1,8
161,1,4
162,1,4
163,1,8
164,1,6
165,1,10
166,1,35
167,1,9
168,1,22
169,1,11
170,1,12
171,0,3
172,1,4
173,1,4
174,1,5
175,1,4
176,1,3
177,1,84
178,1,6
179,-1,2012
180,1,38
181,1,5
182,1,20
183,1,5
184,1,7
185,1,28
186,1,29
187,1,141
188,1,8
189,1,8
190,-1,2006
191,1,11
192,1,19
193,1,5
194,1,7
195,1,8
196,1,13
197,1,28
198,1,144
199,1,3
200,1,13
201,1,5
202,1,7
203,1,13
204,1,15
205,1,142
206,1,6
207,1,2
208,1,17
209,1,18
210,1,21
211,1,5
212,1,9
213,1,34
214,0,3
215,1,9
216,1,8
217,1,25
218,1,13
219,1,6
220,1,5
221,1,2
222,0,4
223,1,2
224,1,1
225,1,3
226,1,96
227,1,3
228,1,15
229,1,5
230,1,3
231,0,3
232,1,6
233,1,5
234,1,6
235,1,19
236,1,10
237,1,16
238,1,9
239,1,4
240,1,42
241,1,15
242,1,9
243,1,9
244,1,8
245,1,9
246,1,14
