ID,ReturnValue,Time
2,0,508,1
3,0,11,1
4,0,17,1
5,0,32,1
6,0,25,1
7,0,15,1
8,0,19,1
9,0,9,1
10,0,5,1
11,0,5,1
12,0,51,1
13,0,124,1
14,0,9,1
15,0,8,1
16,0,7,1
18,0,109,1
19,0,8,1
20,0,273,1
21,0,4,1
22,0,6,1
23,0,7,1
24,0,6,1
25,0,6,1
26,0,195,1
27,0,3,1
29,0,1,1
30,0,6,1
31,0,9,1
32,0,41,1
33,0,25,1
34,0,17,1
35,0,1,1
36,0,6,1
37,0,207,1
38,0,7,1
39,0,7,1
41,0,16,1
43,0,89,1
44,0,29,1
45,0,8,1
46,0,118,1
47,0,25,1
48,0,39,1
49,0,31,1
50,0,17,1
51,0,17,1
