model,fold_id,train_size,test_size,positive_train,positive_test,accuracy,precision,recall,auc,tpr_at_fpr1pct,threshold_at_fpr1pct,tn,fp,fn,tp,fpr,fnr
logreg,1,32400,8100,7732,1838,0.9408641975308641,0.8095671981776765,0.9668117519042437,0.989308449431064,0.7470076169749728,0.8654868332756517,5844,418,61,1777,0.06675183647396998,0.033188248095756254
logreg,2,32490,8010,7633,1937,0.9380774032459426,0.8072494669509594,0.977284460505937,0.9899595363619756,0.7604543107898812,0.8816061838739032,5621,452,44,1893,0.07442779515890005,0.022715539494062985
logreg,3,32310,8190,7620,1950,0.9423687423687424,0.8241228070175438,0.9635897435897436,0.9893560157790927,0.7282051282051282,0.8866103400502017,5839,401,71,1879,0.0642628205128205,0.03641025641025641
logreg,4,32490,8010,7553,2017,0.9410736579275905,0.8255372945638433,0.9712444224095191,0.9904635891104487,0.7778879524045612,0.8739321874774235,5579,414,58,1959,0.06908059402636409,0.02875557759048091
logreg,5,32310,8190,7742,1828,0.9357753357753358,0.7877984084880637,0.9748358862144421,0.9888435988572741,0.7149890590809628,0.8832358917759715,5882,480,46,1782,0.07544797233574348,0.02516411378555799
linear_svm,1,32400,8100,7732,1838,0.9460493827160494,0.8250580046403713,0.9673558215451578,0.9906963396329104,0.779651795429815,0.7324667254059118,5885,377,60,1778,0.06020440753752795,0.03264417845484222
linear_svm,2,32490,8010,7633,1937,0.9435705368289637,0.8258007898200965,0.9716055756324212,0.9911029981890441,0.7929788332472896,0.776509471325836,5676,397,55,1882,0.06537131565947638,0.02839442436757873
linear_svm,3,32310,8190,7620,1950,0.9485958485958486,0.8451467268623025,0.96,0.9914119000657462,0.7912820512820513,0.7035255578184618,5897,343,78,1872,0.05496794871794872,0.04
linear_svm,4,32490,8010,7553,2017,0.9465667915106117,0.8423093494183541,0.969261279127417,0.9915205154650347,0.80466038671294,0.7624487576159824,5627,366,62,1955,0.061071249791423324,0.030738720872583045
linear_svm,5,32310,8190,7742,1828,0.9431013431013431,0.8092643051771117,0.9748358862144421,0.9899113788997446,0.7324945295404814,0.8268267553658186,5942,420,46,1782,0.06601697579377554,0.02516411378555799
random_forest,1,32400,8100,7732,1838,0.981358024691358,0.9508284339925174,0.9678998911860718,0.9982391153924618,0.955386289445049,0.580960796279281,6170,92,59,1779,0.014691791759821143,0.032100108813928184
random_forest,2,32490,8010,7633,1937,0.9795255930087391,0.9430284857571214,0.9741868869385648,0.9980048287055758,0.9473412493546721,0.6510325403584628,5959,114,50,1887,0.018771612053350897,0.02581311306143521
random_forest,3,32310,8190,7620,1950,0.9811965811965812,0.9508032128514057,0.9712820512820513,0.9979403353057199,0.9364102564102564,0.6476395012349423,6142,98,56,1894,0.015705128205128205,0.028717948717948718
random_forest,4,32490,8010,7553,2017,0.9794007490636704,0.950827653359299,0.9682697074863659,0.9984023668002687,0.9519087754090233,0.598752245968524,5892,101,64,1953,0.016852995161021192,0.03173029251363411
random_forest,5,32310,8190,7742,1828,0.9822954822954822,0.9516908212560387,0.9699124726477024,0.9982551624559663,0.949671772428884,0.6100394744766945,6272,90,55,1773,0.014146494812951903,0.030087527352297593
hist_gbdt,1,32400,8100,7732,1838,0.9841975308641975,0.9651795429815017,0.9651795429815017,0.9985439056033091,0.9640914036996736,0.5425720068021602,6198,64,64,1774,0.010220376876397317,0.03482045701849837
hist_gbdt,2,32490,8010,7633,1937,0.9826466916354557,0.9535822401614531,0.9757356737222509,0.9986248024699661,0.9571502323180175,0.7389554315088002,5981,92,47,1890,0.015149020253581426,0.024264326277749097
hist_gbdt,3,32310,8190,7620,1950,0.9821733821733821,0.9644696189495365,0.9605128205128205,0.9986513806706114,0.9528205128205128,0.5925565338601679,6171,69,77,1873,0.011057692307692308,0.03948717948717949
hist_gbdt,4,32490,8010,7553,2017,0.983270911360799,0.9635647464303299,0.970252850768468,0.9989460518348915,0.9638076351016361,0.5963154724592503,5919,74,60,1957,0.012347739028867011,0.029747149231531978
hist_gbdt,5,32310,8190,7742,1828,0.983028083028083,0.9572279371954521,0.9671772428884027,0.9987300657555769,0.962253829321663,0.5771331106573514,6283,79,60,1768,0.012417478780257781,0.03282275711159737
xgboost,1,32400,8100,7732,1838,0.9830864197530864,0.9619771863117871,0.9635473340587595,0.9984873439079667,0.9602829162132753,0.5593357682228088,6192,70,67,1771,0.011178537208559566,0.03645266594124048
xgboost,2,32490,8010,7633,1937,0.9823970037453184,0.9508032128514057,0.9778007227671657,0.9986482650723205,0.9566339700567889,0.7118696570396423,5975,98,43,1894,0.016136999835336736,0.02219927723283428
xgboost,3,32310,8190,7620,1950,0.9813186813186813,0.9586523736600306,0.963076923076923,0.9985743754109139,0.9492307692307692,0.6305112838745117,6159,81,72,1878,0.012980769230769231,0.036923076923076927
xgboost,4,32490,8010,7553,2017,0.9843945068664169,0.9628180039138943,0.9757064947942489,0.9989513463939625,0.9603371343579573,0.6163777709007263,5917,76,49,1968,0.012681461705322876,0.024293505205751114
xgboost,5,32310,8190,7742,1828,0.9841269841269841,0.9594155844155844,0.9699124726477024,0.9987231868376032,0.9600656455142232,0.6233459115028381,6287,75,55,1773,0.011788745677459918,0.030087527352297593
