instance_name,order_id,p,q,r
BSP_100_O6_0.xml,0,55.0,55.0,30.0
BSP_100_O6_0.xml,0,55.0,55.0,30.0
BSP_100_O6_0.xml,0,20.0,16.0,16.0
BSP_100_O6_0.xml,1,37.0,30.0,12.0
BSP_100_O6_0.xml,2,44.0,29.0,16.0
BSP_100_O6_0.xml,3,47.0,30.0,30.0
BSP_100_O6_0.xml,4,82.0,39.0,8.0
BSP_100_O6_0.xml,5,36.0,26.0,7.0
BSP_100_O6_0.xml,6,25.0,18.0,8.0
BSP_100_O6_0.xml,6,25.0,18.0,8.0
BSP_100_O6_0.xml,7,25.0,18.0,15.0
BSP_100_O6_0.xml,7,41.0,31.0,13.0
BSP_100_O6_0.xml,8,70.0,11.0,11.0
BSP_100_O6_0.xml,8,20.0,20.0,10.0
BSP_100_O6_0.xml,9,99.0,65.0,3.0
BSP_100_O6_0.xml,9,99.0,65.0,3.0
BSP_100_O6_0.xml,10,36.0,13.0,10.0
BSP_100_O6_0.xml,11,39.0,28.0,25.0
BSP_100_O6_0.xml,12,45.0,40.0,33.0
BSP_100_O6_0.xml,13,42.0,20.0,15.0
BSP_100_O6_0.xml,14,24.0,19.0,16.0
BSP_100_O6_0.xml,15,31.0,25.0,8.0
BSP_100_O6_0.xml,16,39.0,12.0,12.0
BSP_100_O6_0.xml,17,32.0,14.0,12.0
BSP_100_O6_0.xml,18,78.0,30.0,16.0
BSP_100_O6_0.xml,19,43.0,43.0,27.0
BSP_100_O6_0.xml,20,100.0,45.0,20.0
BSP_100_O6_0.xml,21,33.0,32.0,10.0
BSP_100_O6_0.xml,21,33.0,32.0,10.0
BSP_100_O6_0.xml,22,30.0,25.0,7.0
BSP_100_O6_0.xml,23,42.0,42.0,22.0
BSP_100_O6_0.xml,23,42.0,42.0,22.0
BSP_100_O6_0.xml,24,20.0,16.0,12.0
BSP_100_O6_0.xml,24,20.0,16.0,12.0
BSP_100_O6_0.xml,25,30.0,30.0,6.0
BSP_100_O6_0.xml,25,33.0,28.0,22.0
BSP_100_O6_0.xml,26,30.0,27.0,16.0
BSP_100_O6_0.xml,27,87.0,46.0,28.0
BSP_100_O6_0.xml,28,41.0,36.0,8.0
BSP_100_O6_0.xml,28,46.0,38.0,13.0
BSP_100_O6_0.xml,29,16.0,11.0,5.0
BSP_100_O6_0.xml,29,16.0,13.0,11.0
BSP_100_O6_0.xml,30,40.0,30.0,10.0
BSP_100_O6_0.xml,30,40.0,30.0,10.0
BSP_100_O6_0.xml,31,43.0,32.0,22.0
BSP_100_O6_0.xml,32,31.0,30.0,20.0
BSP_100_O6_0.xml,33,74.0,52.0,13.0
BSP_100_O6_0.xml,34,21.0,16.0,12.0
BSP_100_O6_0.xml,34,21.0,16.0,12.0
BSP_100_O6_0.xml,35,30.0,30.0,5.0
BSP_100_O6_0.xml,35,43.0,31.0,20.0
BSP_100_O6_0.xml,36,62.0,47.0,32.0
BSP_100_O6_0.xml,37,19.0,12.0,10.0
BSP_100_O6_0.xml,38,40.0,28.0,28.0
BSP_100_O6_0.xml,39,54.0,15.0,7.0
BSP_100_O6_0.xml,40,44.0,32.0,24.0
BSP_100_O6_0.xml,41,35.0,35.0,35.0
BSP_100_O6_0.xml,41,30.0,30.0,30.0
BSP_100_O6_0.xml,42,22.0,22.0,22.0
BSP_100_O6_0.xml,42,22.0,22.0,22.0
BSP_100_O6_0.xml,43,50.0,45.0,40.0
BSP_100_O6_0.xml,44,48.0,34.0,16.0
BSP_100_O6_0.xml,45,47.0,28.0,27.0
BSP_100_O6_0.xml,46,25.0,20.0,12.0
BSP_100_O6_0.xml,46,18.0,18.0,16.0
BSP_100_O6_0.xml,47,17.0,16.0,6.0
BSP_100_O6_0.xml,48,30.0,16.0,7.0
BSP_100_O6_0.xml,48,30.0,16.0,7.0
BSP_100_O6_0.xml,49,36.0,28.0,10.0
BSP_100_O6_0.xml,50,80.0,18.0,15.0
BSP_100_O6_0.xml,51,16.0,16.0,12.0
BSP_100_O6_0.xml,51,22.0,22.0,12.0
BSP_100_O6_0.xml,52,53.0,35.0,16.0
BSP_100_O6_0.xml,53,33.0,20.0,20.0
BSP_100_O6_0.xml,54,30.0,30.0,22.0
BSP_100_O6_0.xml,54,20.0,17.0,7.0
BSP_100_O6_0.xml,55,85.0,23.0,15.0
BSP_100_O6_0.xml,56,28.0,18.0,2.0
BSP_100_O6_0.xml,57,43.0,30.0,5.0
BSP_100_O6_0.xml,58,90.0,60.0,30.0
BSP_100_O6_0.xml,59,28.0,17.0,17.0
BSP_100_O6_0.xml,60,25.0,20.0,5.0
BSP_100_O6_0.xml,60,25.0,20.0,5.0
BSP_100_O6_0.xml,61,51.0,51.0,13.0
BSP_100_O6_0.xml,62,20.0,14.0,6.0
BSP_100_O6_0.xml,62,20.0,14.0,6.0
BSP_100_O6_0.xml,63,28.0,18.0,17.0
BSP_100_O6_0.xml,64,18.0,12.0,3.0
BSP_100_O6_0.xml,64,19.0,11.0,5.0
BSP_100_O6_0.xml,65,60.0,60.0,32.0
BSP_100_O6_0.xml,66,30.0,23.0,15.0
BSP_100_O6_0.xml,67,60.0,15.0,15.0
