sku_counts,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration,sku_min_length,sku_max_length,sku_std_length,sku_min_width,sku_max_width,sku_std_width,sku_min_height,sku_max_height,sku_std_height,l_to_L_ratio_avg,l_to_L_ratio_min,l_to_L_ratio_max,l_to_L_ratio_std,h_to_H_ratio_avg,h_to_H_ratio_min,h_to_H_ratio_max,h_to_H_ratio_std,w_to_W_ratio_avg,w_to_W_ratio_min,w_to_W_ratio_max,w_to_W_ratio_std,wl_to_vehicle_wl_avg,wl_to_vehicle_wl_min,wl_to_vehicle_wl_max,wl_to_vehicle_wl_std,wl_to_vehicle_wl_total,instance_source,order_id
3,62206.666666666664,408.33333333333337,507.0,65.33333333333333,43.333333333333336,42.0,25.333333333333332,1.8333333333333333,60.0,25.0,30.0,-141620.0,0.48628228485692854,20.0,55.0,20.207259421636902,16.0,55.0,22.516660498395403,16.0,30.0,8.082903768654761,0.7222222222222222,0.3333333333333333,0.9166666666666666,0.3367876570272817,0.8444444444444444,0.5333333333333333,1.0,0.2694301256218254,1.68,0.64,2.2,0.9006664199358164,1.4155555555555555,0.21333333333333335,2.0166666666666666,1.041154985438625,4.246666666666667,BSP_100_O6_0.xml,0
1,13320.0,0.0,0.0,0.0,37.0,30.0,12.0,3.0833333333333335,60.0,25.0,30.0,31680.0,1.0,37.0,37.0,0.0,30.0,30.0,0.0,12.0,12.0,0.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.0,0.4,0.4,0.4,0.0,1.2,1.2,1.2,0.0,0.74,0.74,0.74,0.0,0.74,BSP_100_O6_0.xml,1
1,20416.0,0.0,0.0,0.0,44.0,29.0,16.0,2.75,60.0,25.0,30.0,24584.0,1.0,44.0,44.0,0.0,29.0,29.0,0.0,16.0,16.0,0.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,1.16,1.16,1.16,0.0,0.8506666666666667,0.8506666666666667,0.8506666666666667,0.0,0.8506666666666667,BSP_100_O6_0.xml,2
1,42300.0,0.0,0.0,0.0,47.0,30.0,30.0,1.5666666666666667,60.0,25.0,30.0,2700.0,1.0,47.0,47.0,0.0,30.0,30.0,0.0,30.0,30.0,0.0,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.0,1.0,1.0,1.0,0.0,1.2,1.2,1.2,0.0,0.94,0.94,0.94,0.0,0.94,BSP_100_O6_0.xml,3
1,25584.0,0.0,0.0,0.0,82.0,39.0,8.0,10.25,60.0,25.0,30.0,19416.0,1.0,82.0,82.0,0.0,39.0,39.0,0.0,8.0,8.0,0.0,1.3666666666666667,1.3666666666666667,1.3666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,1.56,1.56,1.56,0.0,2.132,2.132,2.132,0.0,2.132,BSP_100_O6_0.xml,4
1,6552.0,0.0,0.0,0.0,36.0,26.0,7.0,5.142857142857143,60.0,25.0,30.0,38448.0,1.0,36.0,36.0,0.0,26.0,26.0,0.0,7.0,7.0,0.0,0.6,0.6,0.6,0.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,1.04,1.04,1.04,0.0,0.624,0.624,0.624,0.0,0.624,BSP_100_O6_0.xml,5
2,3600.0,0.0,0.0,0.0,25.0,18.0,8.0,3.125,60.0,25.0,30.0,37800.0,0.5,25.0,25.0,0.0,18.0,18.0,0.0,8.0,8.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.72,0.72,0.72,0.0,0.3,0.3,0.3,0.0,0.6,BSP_100_O6_0.xml,6
2,11636.5,128.0,84.5,2.0,33.0,24.5,14.0,3.1538461538461537,60.0,25.0,30.0,21727.0,0.7099643363554333,25.0,41.0,11.313708498984761,18.0,31.0,9.192388155425117,13.0,15.0,1.4142135623730951,0.55,0.4166666666666667,0.6833333333333333,0.18856180831641267,0.4666666666666667,0.43333333333333335,0.5,0.04714045207910316,0.98,0.72,1.24,0.36769552621700474,0.5736666666666667,0.3,0.8473333333333334,0.38702311156943703,1.1473333333333333,BSP_100_O6_0.xml,7
2,6235.0,1250.0,40.5,0.5,45.0,15.5,10.5,6.363636363636363,60.0,25.0,30.0,32530.0,0.6792301523656776,20.0,70.0,35.35533905932738,11.0,20.0,6.363961030678928,10.0,11.0,0.7071067811865476,0.75,0.3333333333333333,1.1666666666666667,0.5892556509887897,0.35,0.3333333333333333,0.36666666666666664,0.02357022603955158,0.62,0.44,0.8,0.25455844122715715,0.39,0.26666666666666666,0.5133333333333333,0.17441967269268172,0.78,BSP_100_O6_0.xml,8
2,19305.0,0.0,0.0,0.0,99.0,65.0,3.0,33.0,60.0,25.0,30.0,6390.0,0.5,99.0,99.0,0.0,65.0,65.0,0.0,3.0,3.0,0.0,1.65,1.65,1.65,0.0,0.1,0.1,0.1,0.0,2.6,2.6,2.6,0.0,4.29,4.29,4.29,0.0,8.58,BSP_100_O6_0.xml,9
