dropped_feature,delta_auc_vs_baseline,delta_tpr_at_fpr1pct_vs_baseline,auc,tpr_at_fpr1pct,accuracy,performance_drop_auc,performance_drop_tpr_at_fpr1pct
tight_bin_large_piece_interaction,0.0054829697713970615,0.022615535889872085,0.9706228029084955,0.6573254670599803,0.93,0.004239094196935356,0.07227138643067854
p90_long_over_bin_long,0.007843062782483257,0.0840707964601769,0.9729828959195816,0.7187807276302851,0.934,0.0018790011858491606,0.010816125860373726
volume_tail_ratio,0.008612176687303075,0.09046214355948867,0.9737520098244015,0.7251720747295969,0.9324,0.0011098872810293425,0.004424778761061954
multi_dim_tight_share,0.008791531095834526,0.1135693215339233,0.9739313642329329,0.7482792527040315,0.9328,0.0009305328724978912,-0.01868239921337267
max_face_area_load_over_floor,0.00963977194559451,0.1101278269419862,0.9747796050826929,0.7448377581120944,0.934,8.229202273790648e-05,-0.01524090462143557
p90_mid_over_bin_mid,0.009689358164423734,0.10029498525073743,0.9748291913015221,0.7350049164208456,0.9328,3.2705803908683606e-05,-0.005408062930186808
max_elongation,0.009716788838669888,0.09488692232055063,0.9748566219757683,0.7295968534906588,0.9332,5.275129662529743e-06,0.0
count_near_long_limit,0.009722063968332417,0.09488692232055063,0.9748618971054308,0.7295968534906588,0.9332,0.0,0.0
count_near_height_limit,0.009722063968332417,0.09488692232055063,0.9748618971054308,0.7295968534906588,0.9332,0.0,0.0
count_near_width_limit,0.009722063968332417,0.09488692232055063,0.9748618971054308,0.7295968534906588,0.9332,0.0,0.0
short_dim_sum_ratio,0.009766375057499,0.09537856440511305,0.9749062081945974,0.7300884955752213,0.9332,-4.431108916658211e-05,-0.000491642084562427
p90_short_over_bin_short,0.009776925316824392,0.09783677482792519,0.9749167584539228,0.7325467059980334,0.934,-5.486134849197466e-05,-0.002949852507374562
spare_per_item,0.009777980342757009,0.11160275319567348,0.9749178134798554,0.7463126843657817,0.934,-5.591637442459163e-05,-0.01671583087512285
dominant_type_share,0.009806466042935447,0.09587020648967548,0.9749462991800338,0.7305801376597837,0.932,-8.44020746030294e-05,-0.000983284169124854
max_2d_pressure,0.010125083874561791,0.103244837758112,0.9752649170116602,0.7379547689282202,0.9332,-0.0004030199062293738,-0.00835791543756137
