feature,delta_auc,delta_tpr_at_fpr1pct,auc,tpr_at_fpr1pct,accuracy
tight_bin_large_piece_interaction,0.005356366659492573,0.08554572271386429,0.970496199796591,0.7202556538839725,0.9336
volume_tail_ratio,0.0027061415169585823,0.04523107177974428,0.967845974654057,0.6799410029498525,0.9284
p90_long_over_bin_long,0.001193234329700088,0.006391347099311662,0.9663330674667985,0.6411012782694199,0.9316
multi_dim_tight_share,0.0007743890344826809,-0.005408062930186919,0.9659142221715811,0.6293018682399213,0.9284
p90_mid_over_bin_mid,0.0003629289207929265,0.010324483775811188,0.9655027620578913,0.6450344149459194,0.9284
max_2d_pressure,9.495233392842195e-05,-0.007866273352999054,0.9652347854710268,0.6268436578171092,0.9284
p90_short_over_bin_short,4.9586218829333895e-05,0.000491642084562427,0.9651894193559277,0.6352015732546706,0.9276
count_near_long_limit,0.0,0.0,0.9651398331370984,0.6347099311701082,0.9276
count_near_height_limit,0.0,0.0,0.9651398331370984,0.6347099311701082,0.9276
count_near_width_limit,0.0,0.0,0.9651398331370984,0.6347099311701082,0.9276
max_elongation,-1.0550259323949263e-06,0.0,0.965138778111166,0.6347099311701082,0.9276
short_dim_sum_ratio,-2.6375648313203826e-05,-0.002458210422812246,0.9651134574887852,0.632251720747296,0.928
spare_per_item,-3.798093357121335e-05,0.006882989183874089,0.9651018522035272,0.6415929203539823,0.9284
max_face_area_load_over_floor,-4.958621882911185e-05,0.023107177974434512,0.9650902469182693,0.6578171091445427,0.9284
dominant_type_share,-9.178725613068206e-05,0.012291052114060896,0.9650480458809677,0.6470009832841691,0.9284
