spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
589955521,6768.5434430919995,16961818.3325237,0.490608855197721,1,10.097820021996219,0.0711111112888889,0.027666443501249725,0.112,3886240.0,4.364583333097722,0.5499999999908334,194312,2,2,1,5,48578,0.5383333333333333,24289,0.0
74149321,2454.517896726,10444425.419537,0.32089367666052926,1,9.060911858484253,0.0802777775888889,0.0318495583291966,0.14733333333333334,1377760.0,7.580729168702621,0.5499999999908334,120554,2,3,3,8,17222,0.5133333333333334,25833,0.0
337714129,5359.124464707,15934390.416054102,0.5192502723209255,0,9.81890957606083,0.0802777775888889,0.029448229282021694,0.13866666666666666,3185346.6660541,5.00240384689468,0.5333333333244444,165393,3,4,2,5,55131,0.5333333333333333,36754,0.0
300640921,5501.874987392001,16724910.4160887,0.4997650121109143,0,9.760771250334534,0.0802777775888889,0.03445928215945967,0.13866666666666666,3005426.6660887,5.5649038469996075,0.5333333333244444,173390,2,3,3,6,34678,0.5333333333333333,52017,0.0
156725361,3737.971105479,13786548.75,0.44770789076690987,0,9.43508264465409,0.0802777775888889,0.03289067487797175,0.13866666666666666,2169959.9995827,6.353365385800532,0.5666666666572222,137709,4,5,2,7,50076,0.5333333333333333,25038,0.0
156375025,3155.30124085,13213616.670835,0.45754731497153406,0,9.433963808127244,0.0802777775888889,0.03500819997548055,0.14733333333333334,2167533.3329165,6.09615384921409,0.5499999999908334,125050,3,2,3,7,37515,0.535,37515,0.0
218832849,3599.2058057940003,14990239.995069,0.4164597609825537,0,9.601976972147813,0.0802777775888889,0.03283897306136591,0.14733333333333334,2366880.0,6.333333331210417,0.5499999999908334,147930,2,1,2,7,29586,0.535,29586,0.0
159415876,3918.682782632,13457211.662458,0.44918761969481685,0,9.44359265743868,0.0802777775888889,0.03298579157785986,0.13866666666666666,2188506.6662458,6.149038460762418,0.5666666666572222,138886,3,5,2,7,37878,0.5333333333333333,25252,0.0
381225625,5669.015041525,18491802.0826825,0.5332286555446516,0,9.879502189785617,0.0802777775888889,0.030603497713995887,0.13866666666666666,3384333.3326824997,5.463942308519236,0.5333333333244444,175725,1,3,2,6,19525,0.5066666666666667,39050,0.0
577152576,6760.792494456,18148130.0008008,0.5423340961098398,0,10.086850233838494,0.0625,0.03205558875,0.112,3843840.0,4.721354166845492,0.5499999999908334,192192,2,0,1,4,48048,0.5383333333333333,24024,0.0
491863684,5028.60689656,15644730.8340726,0.5145035492069057,1,10.00690117422521,0.09,0.0241010244,0.132,2661360.0,5.878472222451012,0.5666666666572222,177424,3,5,0,4,66534,0.5433333333333333,0,0.0
134420836,2862.9185589179997,12265485.837198,0.48670897443573014,0,9.358329249689632,0.09,0.030331501799999997,0.13866666666666666,2009626.6662802,6.103365387676974,0.5333333333244444,115940,3,4,1,7,34782,0.5333333333333333,11594,0.0
108555561,3150.3044685,12711180.0,0.3474162112142506,1,9.251482315307358,0.0802777775888889,0.029676789748419464,0.12466666666666666,1354470.0,9.384615384543196,0.5666666666572222,145866,2,5,1,6,20838,0.5233333333333333,10419,0.0
400440121,6476.696685053,17376218.3326663,0.4060586658129577,1,9.904087372608096,0.0802777775888889,0.03102810983016301,0.12466666666666666,2601430.0,6.6794871791793895,0.5666666666572222,220121,2,5,1,4,40022,0.5333333333333333,20011,0.0
268960000,4475.8041632,15730333.33388,0.47472027972027975,0,9.70509758756311,0.0802777775888889,0.028196974033493756,0.13866666666666666,2842666.6661199997,5.533653847378393,0.5499999999908334,147600,3,3,2,7,49200,0.5366666666666666,32800,0.0
511800129,7411.268534696999,18126678.75,0.5347901863520579,0,10.0267665686963,0.0802777775888889,0.03317609807763597,0.12466666666666666,2940990.0,6.163461538414127,0.5666666666572222,203607,2,3,1,3,45246,0.54,22623,0.0
154455184,3644.7255569920003,13707048.337476,0.4163698882475746,1,9.42778773074551,0.09,0.0323286078,0.132,1615640.0,8.4839743614732,0.5666666666572222,149136,3,5,1,6,37284,0.5333333333333333,12428,0.0
159617956,3257.734346798,13223586.670877999,0.440369523574121,0,9.444226019822295,0.0802777775888889,0.02716406763470894,0.14733333333333334,2189893.3329122,6.038461541511021,0.5333333333244444,126340,2,4,3,8,25268,0.5333333333333333,37902,0.0
54908100,2063.51889744,9870737.49753,0.3553072625698324,1,8.910720661951359,0.09,0.030154787699999998,0.132,963300.0,10.246794869151948,0.5333333333244444,103740,3,4,1,7,22230,0.5333333333333333,7410,0.0
581581456,4437.512860232,16820910.0,0.6395326565791993,0,10.090672264996071,0.09,0.0123883905,0.132,3135080.0,5.365384615343344,0.5333333333244444,144696,2,1,0,4,48232,0.5333333333333333,0,0.0
443818489,4390.515514683,16563928.75,0.5889775623615928,0,9.95551058060328,0.0802777775888889,0.010835731420585415,0.13866666666666666,3651613.3326311,4.536057693153842,0.5333333333244444,147469,2,3,1,6,42134,0.5333333333333333,21067,0.0
663165504,7298.203429728,16663689.999141602,0.577930174563591,0,10.156306404160087,0.0802777775888889,0.027274410384579128,0.14733333333333334,3186810.0,5.2289562286446145,0.4499999999925,206016,0,1,3,3,0,0.43833333333333335,77256,0.0
413512225,6850.083177875,17174602.0826555,0.5779444557064667,0,9.920147993429236,0.0802777775888889,0.03580994490787066,0.13866666666666666,3524733.3326554997,4.872596154562774,0.5666666666572222,183015,3,4,2,3,61005,0.54,40670,0.0
427372929,5011.63817409,15694252.500689099,0.47215028569079626,1,9.93663215112843,0.0802777775888889,0.024899355404039977,0.12466666666666666,2584125.0,6.073333333551413,0.5666666666572222,186057,2,4,0,5,41346,0.54,0,0.0
75968656,2682.759924536,11062056.669572,0.423244405247492,0,9.073030421011577,0.09,0.0317348481,0.13866666666666666,1510773.3330428,7.322115387904319,0.5333333333244444,113308,3,6,2,6,26148,0.5333333333333333,17432,0.0
1132457104,5879.756320288,11007008.3322116,0.8167077899189285,1,10.42385748414504,0.0711111112888889,0.011493422681033445,0.112,4374760.0,2.5160256407498767,0.4666666666588889,134608,0,2,0,3,0,0.45666666666666667,0,0.0
1650959424,0.0,5282160.0,1.0,0,10.612335823322157,0.054444444288888894,0.0,0.112,5282160.0,0.9999999999923078,0.4333333333261111,40632,0,0,0,1,0,0.43333333333333335,0,0.0
353064100,5593.517159079999,16175058.332707,0.4299122472338802,0,9.841133310789152,0.0802777775888889,0.03692276603989479,0.14733333333333334,3006400.0,5.380208333091375,0.5666666666572222,169110,3,2,3,6,56370,0.5533333333333333,56370,0.0
457275456,5788.218532536001,16617149.999287201,0.5326897018970189,0,9.970445020661009,0.0802777775888889,0.02780369150062311,0.14733333333333334,2779920.0,5.977564102261712,0.4499999999925,192456,0,1,3,4,0,0.4366666666666667,64152,0.0
119858704,2880.525302144,12786351.670316,0.34291671561141784,0,9.301003406873425,0.0802777775888889,0.03105307461346697,0.14733333333333334,1751680.0,7.299479168704378,0.5499999999908334,131376,2,3,2,9,21896,0.5283333333333333,21896,0.0
119771136,3364.668077184,13698240.003648,0.40547921071176884,0,9.300638009956963,0.0802777775888889,0.029759733881655218,0.13866666666666666,1896959.9996352,7.2211538494239464,0.5333333333244444,142272,2,5,2,6,21888,0.5266666666666667,21888,0.0
192876544,3724.101767232,13835920.0,0.41893803034199023,1,9.53885243891622,0.09,0.029373626099999998,0.132,1736000.0,7.96999999993624,0.5666666666572222,152768,3,4,1,6,41664,0.5333333333333333,13888,0.0
1154368576,2379.621756464,10306053.3322008,1.0,0,10.433439104100595,0.0711111112888889,0.013333333350000002,0.13866666666666666,5889173.3322008,1.7500000001341347,0.5333333333244444,67952,1,1,1,2,33976,0.5233333333333333,33976,0.0
304781764,3577.938940534,15079347.5,0.47324086849175806,1,9.767610553984774,0.09,0.0187082868,0.132,2182250.0,6.90999999994472,0.5666666666572222,157122,3,4,0,6,52374,0.54,0,0.0
128913316,3370.055574214,13061830.837118,0.3496700945134637,0,9.337413454539659,0.0802777775888889,0.032269824678702166,0.14733333333333334,1816640.0,7.190104168705062,0.5499999999908334,147602,2,2,3,6,22708,0.5166666666666667,34062,0.0
323280400,5678.45041442,16092100.0,0.50099925980755,0,9.797070923831638,0.0802777775888889,0.028801684716115668,0.13866666666666666,3116533.332734,5.163461539424723,0.5333333333244444,179800,2,5,2,4,35960,0.5333333333333333,35960,0.0
