dispatch_id,if_loaded,n_types,dim_s,dim_m,dim_l,n_items
1,1,8,5,16,26,1
1,1,8,6,7,25,1
1,1,8,7,13,28,1
1,1,8,7,15,33,1
1,1,8,7,16,21,1
1,1,8,9,12,32,1
1,1,8,10,12,27,1
1,1,8,12,14,15,1
2,1,14,5,16,26,1
2,1,14,6,7,25,1
2,1,14,7,13,28,1
2,1,14,7,15,33,1
2,1,14,7,16,21,1
2,1,14,8,10,17,1
2,1,14,8,14,26,1
2,1,14,9,12,32,1
2,1,14,9,14,14,1
2,1,14,10,11,13,1
2,1,14,10,12,27,1
2,1,14,11,15,27,1
2,1,14,12,14,15,1
2,1,14,13,17,17,1
3,1,9,6,7,25,1
3,1,9,6,17,20,1
3,1,9,6,17,26,1
3,1,9,7,11,29,1
3,1,9,8,9,32,1
3,1,9,8,15,32,1
3,1,9,8,16,26,1
3,1,9,12,14,15,1
3,1,9,13,16,32,1
4,1,10,6,7,25,1
4,1,10,6,12,26,1
4,1,10,6,17,26,1
4,1,10,7,11,29,1
4,1,10,8,15,32,1
4,1,10,8,16,26,1
4,1,10,9,10,15,1
4,1,10,12,12,15,1
4,1,10,12,14,15,1
4,1,10,13,16,32,1
5,0,11,6,12,26,1
5,0,11,6,17,20,1
5,0,11,6,17,26,1
5,0,11,7,11,29,1
5,0,11,7,17,34,1
5,0,11,8,9,32,1
5,0,11,8,15,32,1
5,0,11,8,16,26,1
5,0,11,9,10,15,1
5,0,11,12,12,15,1
5,0,11,13,16,32,1
6,1,10,7,15,33,1
6,1,10,8,10,17,1
6,1,10,8,14,26,1
6,1,10,9,12,32,1
6,1,10,9,14,14,1
6,1,10,10,11,13,1
6,1,10,10,12,27,1
6,1,10,11,15,27,1
6,1,10,13,16,32,1
6,1,10,13,17,17,1
7,1,10,7,15,33,1
7,1,10,8,10,17,1
7,1,10,8,14,26,1
7,1,10,9,12,32,1
7,1,10,9,14,14,1
7,1,10,10,11,13,1
7,1,10,10,12,27,1
7,1,10,11,15,27,1
7,1,10,12,14,26,1
7,1,10,13,17,17,1
8,0,11,6,6,19,1
8,0,11,6,12,26,1
8,0,11,6,17,26,1
8,0,11,7,11,29,1
8,0,11,7,17,34,1
8,0,11,8,15,32,1
8,0,11,8,16,26,1
8,0,11,9,10,15,1
8,0,11,11,17,19,1
8,0,11,12,12,15,1
8,0,11,13,16,32,1
9,1,9,6,12,26,1
9,1,9,6,17,26,1
9,1,9,7,8,29,1
9,1,9,7,11,29,1
9,1,9,8,16,26,1
9,1,9,9,10,15,1
9,1,9,10,12,30,1
9,1,9,12,12,15,1
9,1,9,13,16,32,1
10,1,8,6,7,25,1
10,1,8,7,15,33,1
10,1,8,8,10,17,1
10,1,8,9,12,32,1
10,1,8,10,11,13,1
