feature,gain,weight,split_used
spare_capacity,16.896759033203125,1860.0,1860
sku_average_volume,4.758613109588623,1306.0,1306
wl_to_vehicle_wl_total,3.1910274028778076,1058.0,1058
wl_to_vehicle_wl_max,2.4920620918273926,816.0,816
sku_counts,2.2792465686798096,99.0,99
l_to_L_ratio_std,2.2692439556121826,14.0,14
sku_max_width,2.028628349304199,184.0,184
h_to_H_ratio_max,1.9987821578979492,32.0,32
sku_concentration,1.9354865550994873,1073.0,1073
w_to_W_ratio_avg,1.8583167791366577,93.0,93
w_to_W_ratio_min,1.8066898584365845,23.0,23
sku_min_width,1.7052764892578125,194.0,194
sku_height_avg,1.6752283573150635,1178.0,1178
sku_length_avg,1.672143578529358,1377.0,1377
sku_min_height,1.6557406187057495,216.0,216
sku_width_avg,1.5978968143463135,1189.0,1189
h_to_H_ratio_std,1.5829966068267822,10.0,10
sku_std_length,1.537347674369812,148.0,148
wl_to_vehicle_wl_std,1.5119593143463135,1228.0,1228
wl_to_vehicle_wl_min,1.5020818710327148,709.0,709
sku_min_length,1.4924736022949219,292.0,292
max_asr,1.4201691150665283,659.0,659
sku_height_var,1.4149415493011475,1364.0,1364
sku_std_width,1.3828145265579224,92.0,92
h_to_H_ratio_min,1.327703833580017,14.0,14
sku_length_var,1.3112431764602661,1217.0,1217
l_to_L_ratio_max,1.2889578342437744,42.0,42
sku_max_length,1.2679827213287354,314.0,314
sku_width_var,1.2604498863220215,1177.0,1177
wl_to_vehicle_wl_avg,1.2467092275619507,1023.0,1023
sku_max_height,1.2282191514968872,248.0,248
w_to_W_ratio_max,1.2180966138839722,18.0,18
l_to_L_ratio_avg,1.1249507665634155,126.0,126
h_to_H_ratio_avg,1.0696090459823608,120.0,120
w_to_W_ratio_std,1.060324788093567,49.0,49
l_to_L_ratio_min,1.0304710865020752,23.0,23
sku_std_height,0.9966915249824524,91.0,91
vehicle_length,0.0,0.0,0
vehicle_width,0.0,0.0,0
vehicle_height,0.0,0.0,0
