feature,recovered_mean,whole_mean,harmed_mean,delta_recovered_vs_whole,delta_recovered_vs_harmed
spare_capacity,10990.728260869566,16311.7444,9972.75,-5321.016139130434,1017.9782608695659
sku_average_volume,3182.179704076087,2907.5297799456002,3126.522560892857,274.64992413048685,55.65714318322989
wl_to_vehicle_wl_total,1134.2844202945653,991.206333335148,1171.9791666785713,143.0780869594173,-37.694746384006066
wl_to_vehicle_wl_max,183.2019927543478,165.87083333343597,176.726190475,17.33115942091183,6.475802279347789
wl_to_vehicle_wl_std,42.002350678695656,36.691191452260796,41.351347770000004,5.31115922643486,0.6510029086956521
wl_to_vehicle_wl_avg,104.76291589195652,99.820637133172,103.35109097964285,4.942278758784525,1.4118249123136764
sku_length_var,46.50167914489129,43.8682508223272,52.07889058392857,2.633428322564093,-5.577211439037278
wl_to_vehicle_wl_min,46.91576086945651,48.12383333293201,44.25595238107143,-1.2080724634754958,2.6598084883850817
sku_counts,10.98913043478261,10.0364,11.571428571428571,0.9527304347826089,-0.5822981366459619
sku_height_var,11.833139539913043,11.083007826148402,10.661791262107142,0.7501317137646417,1.171348277805901
sku_max_length,34.26086956521739,33.5912,34.285714285714285,0.6696695652173901,-0.024844720496894013
sku_width_var,8.141040827630436,7.49746338729,7.441765603499998,0.6435774403404357,0.6992752241304379
sku_height_avg,12.603784095760872,12.1621290679272,12.554137381071428,0.44165502783367216,0.04964671468944459
sku_length_avg,24.387666611304354,24.022217351024,24.606670908571427,0.3654492602803536,-0.21900429726707316
sku_max_width,14.445652173913043,14.0892,14.321428571428571,0.35645217391304307,0.12422360248447184
sku_max_height,17.217391304347824,16.8824,16.964285714285715,0.33499130434782387,0.2531055900621091
sku_width_avg,10.319849750054349,10.043249468108,10.064541857428571,0.2766002819463491,0.2553078926257779
sku_std_length,6.731511874282609,6.5041655067328,7.161640383642856,0.22734636754980908,-0.43012850936024716
sku_min_length,14.304347826086957,14.0924,13.785714285714286,0.2119478260869574,0.5186335403726705
max_asr,5.098951863369565,4.945312923752,5.028797095714286,0.15363893961756503,0.0701547676552785
sku_min_height,7.130434782608695,7.282,7.285714285714286,-0.15156521739130469,-0.15527950310559024
sku_std_height,3.402632006456522,3.2696926106132,3.2352691631785713,0.13293939584332204,0.1673628432779508
sku_std_width,2.8137512370000004,2.6813257341712,2.6988558017499997,0.1324255028288004,0.11489543525000068
sku_min_width,5.945652173913044,5.974,5.821428571428571,-0.028347826086956296,0.12422360248447273
l_to_L_ratio_max,0.5710144927826086,0.5598533333151999,0.5714285714642856,0.011161159467408699,-0.00041407868167697703
h_to_H_ratio_avg,0.2100630682065217,0.20270215112239998,0.2092356229642857,0.007360917084121732,0.000827445242236019
l_to_L_ratio_avg,0.4064611101413044,0.40037028918199996,0.41011118178571426,0.006090820959304466,-0.0036500716444098358
w_to_W_ratio_max,0.24076086953260867,0.23481999993359995,0.23869047610714286,0.005940869599008719,0.002070393425465805
h_to_H_ratio_max,0.286956521673913,0.2813733332788,0.2827380951071429,0.005583188395113015,0.004218426566770128
w_to_W_ratio_avg,0.17199749582608695,0.1673874911432,0.16774236435714288,0.004610004682886942,0.004255131468944073
sku_concentration,0.27540890604347823,0.271239597694,0.27460584625,0.004169308349478207,0.0008030597934782224
l_to_L_ratio_std,0.11219186454347825,0.1084027584508,0.11936067307142859,0.0037891060926782544,-0.007168808527950335
l_to_L_ratio_min,0.23840579717391305,0.2348733334044,0.22976190482142858,0.00353246376951305,0.008643892352484472
h_to_H_ratio_min,0.11884057979347827,0.1213666667492,0.12142857142857143,-0.0025260869557217347,-0.0025879916350931564
h_to_H_ratio_std,0.05671053342391305,0.05449487684640001,0.05392115275,0.0022156565775130407,0.0027893806739130514
w_to_W_ratio_std,0.04689585398913044,0.04468876223999999,0.04498092996428571,0.0022070917491304465,0.0019149240248447288
w_to_W_ratio_min,0.09909420278260869,0.099566666562,0.09702380942857146,-0.0004724637793913078,0.002070393354037234
vehicle_width,25.0,25.0,25.0,0.0,0.0
vehicle_height,30.0,30.0,30.0,0.0,0.0
vehicle_length,60.0,60.0,60.0,0.0,0.0
