iteration,status,is_success,trial_dir,n_new_features,feature_names,policy_excerpt,rationale_excerpt,error,metric_accuracy,metric_precision,metric_recall,metric_auc,metric_fpr,metric_fnr,metric_tpr_at_fpr1pct,metric_tn,metric_fp,metric_fn,metric_tp,delta_accuracy,delta_recall,delta_auc,delta_tpr_at_fpr1pct
1,accepted,True,trials/iter_001,5,"spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items",,,,0.9292,0.9444710387745333,0.9700098328416913,0.9680917956963382,0.24892703862660945,0.02999016715830875,0.6671583087512291,350.0,116.0,61.0,1973.0,0.0016000000000000458,0.001966568338249819,0.0029519625592397958,0.032448377581120846
2,failed,False,trials/iter_002,0,,,,"RateLimitError: Error code: 429 - {'error': {'message': ""No deployments available for selected model, Try again in 5 seconds. Passed model=glm-5.1. pre-call-checks=False, cooldown_list=[('b9ca8bb822ee3f6a483f081af040bbc6769519968ef875dbfcc563db02907968', {'exception_received': 'litellm.RateLimitError: Model rate limit exceeded.', 'status_code': '429', 'timestamp': 1779097037.1183505, 'cooldown_time': 5}), ('ee7f63fe7b5a6e0c0f610a8773fbc7d2b61ec00beadff16b9c535feb3698db62', {'exception_received': 'litellm.InternalServerError: InternalServerError: Hosted_vllmException - Internal Server Error', 'status_code': '500', 'timestamp': 1779097037.671829, 'cooldown_time': 5})]"", 'type': 'None', 'param': 'None', 'code': '429'}}",,,,,,,,,,,,,,,
3,rejected,False,trials/iter_003,3,"spare_cap_x_avg_vol,wl_max_residual,n_long_items",,,,0.9292,0.9440459110473458,0.9705014749262537,0.9681624824338182,0.2510729613733906,0.029498525073746312,0.6607669616519174,349.0,117.0,60.0,1974.0,0.0016000000000000458,0.002458210422812246,0.0030226492967198038,0.026057030481809185
4,failed,False,trials/iter_004,0,,,,ValueError: Repair response did not include FEATURE_CODE python block,,,,,,,,,,,,,,,
5,accepted,True,trials/iter_005,4,"spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio",,,,0.9292,0.9427753934191703,0.971976401179941,0.9688672397567533,0.2575107296137339,0.028023598820058997,0.6592920353982301,346.0,120.0,57.0,1977.0,0.0016000000000000458,0.003933136676499527,0.0037274066196548716,0.024582104228121904
6,accepted,True,trials/iter_006,3,"spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL",,,,0.9292,0.9444710387745333,0.9700098328416913,0.9695013103422082,0.24892703862660945,0.02999016715830875,0.6647000983284169,350.0,116.0,61.0,1973.0,0.0016000000000000458,0.001966568338249819,0.0043614772051098205,0.02999016715830871
7,failed,False,trials/iter_007,0,,,,"RateLimitError: Error code: 429 - {'error': {'message': ""No deployments available for selected model, Try again in 5 seconds. Passed model=glm-5.1. pre-call-checks=False, cooldown_list=[('b9ca8bb822ee3f6a483f081af040bbc6769519968ef875dbfcc563db02907968', {'exception_received': 'litellm.RateLimitError: Model rate limit exceeded.', 'status_code': '429', 'timestamp': 1779097551.7085834, 'cooldown_time': 5}), ('ee7f63fe7b5a6e0c0f610a8773fbc7d2b61ec00beadff16b9c535feb3698db62', {'exception_received': 'litellm.RateLimitError: Model rate limit exceeded.', 'status_code': '429', 'timestamp': 1779097552.2410598, 'cooldown_time': 5})]"", 'type': 'None', 'param': 'None', 'code': '429'}}",,,,,,,,,,,,,,,
8,accepted,True,trials/iter_008,3,"spare_cap_x_sku_counts,n_items_near_vL,n_tall_items","- Add `spare_cap_x_sku_counts` to capture the nonlinear interaction between slack and item count (XGB guidance §3.2, not yet in active bank despite spare_cap interactions with conc/wl_total/wl_max). - Add `n_items_near_vL` as a threshold co",- **spare_cap_x_sku_counts** directly tests XGB guidance §3.2: `spare_capacity ×,,0.9308,0.945428434657731,0.9709931170108161,0.9730008313604349,0.2446351931330472,0.029006882989183875,0.7025565388397247,352.0,114.0,59.0,1975.0,0.0031999999999999806,0.002949852507374673,0.007860998223336524,0.06784660766961648
9,accepted,True,trials/iter_009,3,"n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL",,,,0.936,0.949616122840691,0.9729596853490659,0.9735768755196003,0.22532188841201717,0.02704031465093412,0.700589970501475,361.0,105.0,55.0,1979.0,0.008400000000000074,0.004916420845624381,0.00843704238250187,0.06588003933136677
10,rejected,False,trials/iter_010,3,"n_fragile_items,flat_item_share,vol_top1_share",,,,0.936,0.949616122840691,0.9729596853490659,0.9736781580091238,0.22532188841201717,0.02704031465093412,0.6956735496558505,361.0,105.0,55.0,1979.0,0.008400000000000074,0.004916420845624381,0.008538324872025438,0.06096361848574228
11,rejected,False,trials/iter_011,3,"spare_cap_x_h_to_H_max,wl_total_x_h_to_H_max,dim_s_avg_to_vmin",,,,0.9348,0.9482510781025395,0.9729596853490659,0.973723524124223,0.2317596566523605,0.02704031465093412,0.6956735496558505,358.0,108.0,55.0,1979.0,0.007199999999999984,0.004916420845624381,0.008583690987124637,0.06096361848574228
12,rejected,False,trials/iter_012,3,"footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items",,,,0.9388,0.9519461797212878,0.9739429695181907,0.9740642975004326,0.2145922746781116,0.026057030481809244,0.6897738446411013,366.0,100.0,53.0,1981.0,0.011199999999999988,0.005899705014749235,0.008924464363334161,0.05506391347099304
13,failed,False,trials/iter_013,0,,,,"KeyError: ""Label(s) ['vehicle_height', 'vehicle_length', 'vehicle_width'] do not exist""",,,,,,,,,,,,,,,
14,accepted,True,trials/iter_014,3,"q90_l_to_L,spare_cap_x_n_wide,height_tail_share",,,,0.9372,0.9496885481552467,0.9744346116027532,0.9744915830031102,0.22532188841201717,0.025565388397246803,0.7207472959685349,361.0,105.0,52.0,1982.0,0.009600000000000053,0.006391347099311773,0.009351749866011838,0.08603736479842672
15,rejected,False,trials/iter_015,3,"q90_w_to_W,spare_cap_x_height_tail,n_long_and_wide",,,,0.9376,0.950143815915628,0.9744346116027532,0.9745063533661658,0.22317596566523606,0.025565388397246803,0.7192723697148475,362.0,104.0,52.0,1982.0,0.010000000000000009,0.006391347099311773,0.009366520229067365,0.08456243854473933
