spare_cap_x_sku_counts,n_items_near_vL,n_tall_items
194312,2,2
120554,2,3
165393,3,4
173390,2,3
137709,4,5
125050,3,2
147930,2,1
138886,3,5
175725,1,3
192192,2,0
177424,3,5
115940,3,4
145866,2,5
220121,2,5
147600,3,3
203607,2,3
149136,3,5
126340,2,4
103740,3,4
144696,2,1
147469,2,3
206016,0,1
183015,3,4
186057,2,4
113308,3,6
134608,0,2
40632,0,0
169110,3,2
192456,0,1
131376,2,3
142272,2,5
152768,3,4
67952,1,1
157122,3,4
147602,2,2
179800,2,5
197208,1,1
175428,2,4
107220,3,2
121759,3,4
154638,2,5
83700,4,3
192929,0,3
144948,1,5
144254,4,5
166991,2,4
185185,2,4
59579,5,4
153384,2,2
145464,3,6
182688,2,1
228240,1,4
172400,2,5
149226,2,3
104436,2,4
153840,3,2
153210,3,1
203016,1,4
162987,3,2
224070,0,1
181656,3,0
157355,2,5
159204,1,4
164660,2,5
157920,2,4
26700,3,5
124922,2,5
104952,4,5
183645,2,4
184920,3,2
180342,2,4
63401,3,6
-89642,4,8
159390,3,5
146880,3,2
157536,3,6
122556,3,4
142252,3,4
140980,3,6
148740,2,5
146512,3,4
128632,2,7
114240,3,4
163774,2,5
100204,3,4
195048,2,3
160270,2,7
135619,2,5
161980,3,4
179802,3,1
180117,2,3
163590,3,5
217440,0,2
140490,3,2
41160,1,0
152370,2,4
103292,2,3
130900,3,4
89683,5,4
191570,2,3
208824,2,4
138576,2,4
148500,3,2
176077,2,4
134676,2,1
141600,2,5
141012,3,1
138540,3,2
104517,2,0
38344,1,1
184608,1,4
106236,3,5
-1095,4,4
174678,0,1
109252,3,4
146705,1,1
206558,2,5
40954,1,1
151150,3,2
177342,2,3
144690,3,6
166944,3,2
186362,1,4
110361,0,2
73172,1,1
158774,3,4
106224,0,0
170384,2,4
147936,3,5
146628,3,2
111186,0,0
108290,2,6
133548,0,0
146211,3,2
141000,0,0
176120,2,1
177280,2,4
122507,4,4
166720,2,4
161608,3,3
161100,2,6
231048,1,4
188000,2,0
124773,4,3
205280,0,1
206492,0,3
125279,4,5
161440,1,4
169540,3,5
173000,3,4
188496,2,3
