n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL
1,5,48578
3,8,17222
2,5,55131
3,6,34678
2,7,50076
3,7,37515
2,7,29586
2,7,37878
2,6,19525
1,4,48048
0,4,66534
1,7,34782
1,6,20838
1,4,40022
2,7,49200
1,3,45246
1,6,37284
3,8,25268
1,7,22230
0,4,48232
1,6,42134
3,3,0
2,3,61005
0,5,41346
2,6,26148
0,3,0
0,1,0
3,6,56370
3,4,0
2,9,21896
2,6,21888
1,6,41664
1,2,33976
0,6,52374
3,6,22708
2,4,35960
3,4,21912
4,4,31896
4,7,26805
0,7,33207
1,5,34364
0,9,27900
3,6,0
4,7,12079
0,6,52456
2,6,30362
3,5,33670
1,9,22915
1,3,51128
2,6,36366
3,5,45672
1,4,22824
1,4,43100
1,6,27132
2,8,17406
3,6,46152
2,7,45963
1,5,18456
2,6,44451
4,4,0
1,5,60552
1,5,28610
2,6,13267
2,6,32932
2,6,26320
2,9,5340
2,6,17846
0,7,34984
2,5,40810
3,5,55476
0,5,40076
0,10,14631
1,10,-18872
1,5,53130
1,6,44064
1,5,52512
0,7,30639
1,7,38796
1,5,42294
0,5,24790
0,6,54942
2,7,18376
1,7,28560
3,5,25196
1,8,23124
2,2,48762
1,6,29140
0,9,24658
0,6,48594
1,5,59934
2,3,40026
2,6,49077
1,5,0
0,5,60210
0,1,41160
0,6,33860
3,9,14756
0,7,39270
0,9,40765
2,3,38314
1,5,37968
1,7,23096
1,5,49500
0,5,32014
3,7,22446
2,6,23600
3,7,35253
3,7,34635
0,3,69678
1,1,38344
2,5,20512
0,7,26559
2,11,-292
2,4,0
3,8,25212
0,3,29341
1,5,37556
0,1,40954
2,7,45345
1,6,32244
0,8,43407
1,4,62604
3,5,16942
0,3,0
0,2,36586
0,5,68046
0,2,0
0,5,42596
2,6,36984
0,4,73314
1,1,0
4,7,15470
0,2,0
3,6,33741
1,2,0
3,6,35224
1,5,35456
0,8,44548
2,6,33344
0,4,60603
2,7,26850
2,4,19254
1,5,37600
0,8,45372
3,4,0
3,5,0
1,7,45556
2,6,16144
0,5,50862
1,6,51900
2,3,34272
1,3,26998
2,7,33405
0,3,26331
1,4,33210
1,3,24057
4,6,18128
3,7,20734
0,5,49820
2,8,27075
0,9,36485
2,8,24028
1,7,43208
0,1,0
0,6,28518
0,8,26582
2,8,24362
1,6,31832
1,0,0
2,6,29848
3,7,27558
2,6,48015
2,7,42747
0,5,51579
1,5,15579
2,7,13532
0,7,48675
1,5,30744
3,10,-2640
1,2,25813
0,4,46714
5,10,-7036
0,5,43008
0,2,36792
2,6,38322
0,6,39663
0,1,36288
4,7,20418
2,5,32336
0,6,34272
0,0,40656
0,8,33394
0,1,0
0,8,62605
3,3,21408
3,3,0
2,8,31053
1,6,39056
1,1,37384
0,4,42478
1,7,18924
2,9,22156
1,3,68064
3,7,14453
0,2,33180
3,7,24417
0,4,0
1,5,71128
1,6,54762
3,8,29246
3,6,14391
0,8,58996
3,4,21706
1,7,37989
0,4,80376
0,5,51480
0,3,52514
2,4,25276
1,9,2024
1,4,62796
1,4,26140
1,7,29944
1,2,53982
3,5,42765
1,5,22886
1,7,36228
0,8,49545
0,9,41524
2,3,50787
0,6,25798
3,7,31712
3,5,37198
0,9,27076
3,4,18300
1,6,26720
2,6,38859
2,8,40976
2,5,37284
0,9,30303
1,6,15844
2,12,-37625
1,5,35868
1,9,13620
0,6,38932
0,4,66852
0,2,32349
0,1,36717
0,1,64746
3,10,12876
0,6,41084
0,8,17535
0,10,14645
1,8,25736
2,7,27874
0,6,25386
3,6,36936
4,6,34908
2,8,29643
