footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items
0.5506666666666666,48578,0
1.0933333333333333,25833,0
0.6793333333333333,73508,1
0.7673333333333333,52017,1
0.8226666666666667,62595,2
0.9033333333333333,25010,1
0.8766666666666667,14793,0
0.8553333333333333,63130,2
0.6646666666666666,58575,1
0.5986666666666667,0,0
0.564,110890,1
0.84,46376,1
0.966,52095,1
0.7366666666666667,100055,1
0.7053333333333334,49200,1
0.66,67869,1
0.88,62140,1
0.8466666666666667,50536,1
0.998,29640,0
0.48933333333333334,24116,0
0.5406666666666666,63201,1
0.6826666666666666,25752,0
0.6866666666666666,81340,2
0.614,82692,1
0.992,52296,1
0.3006666666666667,67304,0
0.112,0,0
0.7473333333333333,37580,1
0.7946666666666666,21384,0
0.9693333333333334,32844,0
0.9293333333333333,54720,1
0.7853333333333333,55552,1
0.25066666666666665,33976,1
0.6453333333333333,69832,1
1.0533333333333332,22708,0
0.748,89900,1
0.7626666666666667,21912,0
0.9133333333333333,63792,1
1.0433333333333332,17870,1
0.8766666666666667,44276,1
0.72,85910,1
0.9,20925,0
0.8873333333333333,52617,0
1.002,60395,1
0.7613333333333333,65570,1
0.7806666666666666,60724,1
0.8033333333333333,67340,1
1.002,18332,1
0.5113333333333333,51128,1
0.8913333333333333,72732,2
0.668,22836,0
0.6733333333333333,91296,0
0.608,107750,1
0.818,40698,0
0.984,34812,0
0.848,30768,0
0.8446666666666667,15321,0
0.7853333333333333,73824,0
0.8806666666666667,29634,0
0.8866666666666667,20370,0
0.6786666666666666,0,0
0.8446666666666667,71525,1
0.9326666666666666,53068,1
0.7753333333333333,82330,2
0.9,52640,1
1.188,8900,1
1.0486666666666666,44615,1
0.8733333333333333,43730,1
0.6633333333333333,81620,1
0.784,36984,0
0.6133333333333333,80152,1
0.962,29262,1
1.3186666666666667,-37744,1
0.688,88550,1
0.7726666666666666,29376,1
0.6873333333333334,105024,2
0.882,40852,1
0.844,51728,1
0.788,84588,1
0.8626666666666667,61975,0
0.64,73256,1
1.0006666666666666,64316,1
0.8973333333333333,38080,1
0.952,62990,1
0.9613333333333334,30832,1
0.6073333333333333,73143,1
0.7966666666666666,101990,1
0.782,61645,1
0.6933333333333334,64792,1
0.678,19978,1
0.7193333333333334,60039,1
0.7426666666666667,81795,2
0.6453333333333333,48320,0
0.5686666666666667,40140,1
0.08,0,0
0.6773333333333333,67720,1
1.1093333333333333,22134,0
0.7573333333333333,52360,1
0.862,32612,1
0.7246666666666667,57471,1
0.7533333333333333,75936,0
0.8813333333333333,46192,1
0.7086666666666667,33000,1
0.7626666666666667,64028,0
1.0166666666666666,11223,0
0.924,59000,1
0.9846666666666667,11751,0
0.984,23090,1
0.222,0,0
0.13866666666666666,38344,1
0.696,82048,1
0.906,44265,1
1.2246666666666666,-292,1
0.6546666666666666,24954,0
1.0366666666666666,33616,0
0.428,29341,1
0.7526666666666667,93890,1
0.07933333333333334,40954,1
0.844,30230,1
0.77,48366,0
0.7326666666666667,86814,1
0.5966666666666667,41736,1
0.836,67768,1
0.20466666666666666,73574,0
0.19133333333333333,36586,1
0.528,90728,1
0.22933333333333333,0,0
0.5653333333333334,85192,1
0.892,61640,1
0.45666666666666667,48876,1
0.252,0,0
1.118,46410,1
0.3486666666666667,0,0
1.0206666666666666,22494,0
0.316,0,0
0.7853333333333333,17612,0
0.7053333333333334,70912,1
0.7873333333333333,44548,1
0.776,66688,1
0.6053333333333333,60603,1
0.852,80550,1
0.8133333333333334,77016,0
0.716,0,0
0.788,34029,0
0.8,20528,0
0.8713333333333333,56316,0
0.83,56945,1
0.808,64576,1
0.6813333333333333,84770,1
0.732,69200,1
0.844,51408,1
0.5086666666666667,80994,0
0.86,55675,2
0.5173333333333333,105324,0
0.8373333333333334,83025,0
0.6573333333333333,96228,0
0.7893333333333333,72512,1
1.022,10367,0
0.4653333333333333,74730,1
0.9513333333333334,45125,1
0.8673333333333333,29188,1
1.034,30035,1
0.784,54010,2
0.11733333333333333,0,0
0.8026666666666666,42777,0
0.7706666666666667,66455,0
0.9533333333333334,36543,0
0.7693333333333333,63664,1
0.14,0,0
0.9133333333333333,29848,0
0.9686666666666667,13779,0
0.7626666666666667,48015,1
0.834,71245,1
0.6933333333333334,34386,1
0.91,62316,0
0.8846666666666667,81192,1
0.6613333333333333,64900,1
0.8533333333333334,76860,0
1.234,-2640,0
0.586,51626,0
0.6073333333333333,23357,0
1.3313333333333333,-8795,1
0.566,64512,0
0.192,0,0
0.7646666666666667,19161,0
0.794,66105,1
0.228,36288,0
1.1086666666666667,10209,0
0.812,80840,1
0.678,51408,0
0.116,40656,0
0.67,83485,1
0.23666666666666666,0,0
0.75,50084,1
0.7986666666666666,42816,0
0.8313333333333334,43030,0
0.918,41404,1
0.6693333333333333,58584,1
0.21933333333333332,37384,1
0.614,21239,0
1.0506666666666666,31540,0
1.0113333333333334,38773,2
0.6266666666666667,45376,0
0.886,57812,1
0.292,33180,0
1.0846666666666667,16278,0
0.31666666666666665,64838,0
0.5953333333333334,53346,2
0.604,73016,2
0.8726666666666667,43869,0
0.9793333333333333,71955,0
0.6873333333333334,44247,1
0.762,43412,1
0.8953333333333333,50652,0
0.5726666666666667,60282,1
0.682,68640,0
0.496,52514,1
0.622,50552,1
1.2013333333333334,4048,1
0.808,62796,1
0.44466666666666665,78420,1
1.0126666666666666,44916,1
0.548,80973,1
0.9326666666666666,42765,0
0.58,68658,1
0.8493333333333334,48304,1
0.7906666666666666,19818,1
0.7993333333333333,31143,1
0.7873333333333333,67716,1
0.8266666666666667,51596,0
0.8566666666666667,47568,0
0.8166666666666667,37198,0
0.8993333333333333,27076,1
0.8626666666666667,36600,0
0.8173333333333334,53440,1
0.8433333333333334,64765,1
0.8853333333333333,40976,1
0.8026666666666666,0,0
0.8446666666666667,60606,1
0.862,95064,0
1.4046666666666667,-37625,1
0.706,53802,0
1.04,10215,0
0.9046666666666666,58398,1
0.716,66852,1
0.34,64698,1
0.228,73434,1
0.344,97119,1
1.108,17168,1
0.5773333333333334,61626,1
0.994,23380,1
0.9793333333333333,11716,1
0.896,32170,2
0.882,13937,0
0.826,63465,1
0.78,18468,0
0.872,17454,0
0.946,49405,1
0.7786666666666666,16572,0
0.9693333333333334,59860,1
0.8213333333333334,38192,1
0.7173333333333334,47499,1
0.8033333333333333,31622,0
0.8066666666666666,32360,1
0.882,41952,1
1.024,22989,1
0.6593333333333333,61143,1
0.5726666666666667,61617,1
0.9653333333333334,40885,1
0.7613333333333333,67795,1
0.728,78156,1
0.37533333333333335,31099,1
1.206,23635,1
1.428,-27170,1
0.8973333333333333,13244,0
0.558,49716,0
1.104,11469,1
0.4553333333333333,77289,1
0.9966666666666667,52314,1
1.0213333333333334,13602,1
1.2253333333333334,-18690,1
0.8606666666666667,45364,1
0.7086666666666667,89585,1
0.8166666666666667,41920,1
0.7253333333333334,81630,1
0.43333333333333335,28485,1
0.6873333333333334,63537,1
0.882,35262,0
0.5426666666666666,51102,0
1.1193333333333333,9390,1
0.756,69850,1
0.8266666666666667,59332,0
0.7886666666666666,70385,1
1.168,-11664,2
0.6586666666666666,49956,0
1.0106666666666666,21596,1
0.6706666666666666,17631,1
0.7013333333333334,31862,1
0.772,19730,0
1.058,27124,1
1.0293333333333334,31740,0
1.1086666666666667,23304,0
0.572,23370,1
1.0053333333333334,28320,1
0.32,33978,0
0.3526666666666667,33411,0
0.802,56212,1
0.14866666666666667,40763,0
1.1126666666666667,33740,1
0.354,0,0
1.196,2590,1
1.1873333333333334,-13559,2
1.0413333333333334,32880,1
0.6766666666666666,92225,1
0.8926666666666667,43252,1
0.8366666666666667,44367,1
0.7873333333333333,34088,0
0.908,65165,1
0.9446666666666667,23418,0
0.702,52995,1
0.8546666666666667,59955,2
1.0913333333333333,50115,0
0.7106666666666667,0,0
0.748,18996,0
1.0446666666666666,35596,1
0.956,38304,1
0.8553333333333333,48788,1
1.012,35168,1
0.8,66710,1
0.9086666666666666,71414,1
0.6606666666666666,38112,1
0.9,58380,1
1.026,52494,1
0.6666666666666666,80130,2
0.7986666666666666,63868,2
1.0253333333333334,46320,1
0.668,76448,1
1.116,21790,1
0.9273333333333333,34014,1
0.9253333333333333,43680,1
0.7766666666666666,45471,1
0.9046666666666666,15591,0
0.8566666666666667,33951,1
1.26,-20790,2
1.0713333333333332,32690,2
0.5953333333333334,66579,1
0.8073333333333333,62223,0
0.6786666666666666,37376,0
0.5013333333333333,58348,0
1.104,26088,1
1.064,41150,1
1.146,8195,1
1.23,20202,1
0.7753333333333333,64148,1
0.6786666666666666,28554,1
0.964,54342,1
0.974,68856,0
0.988,43460,1
0.7146666666666667,69068,0
0.9153333333333333,49868,1
0.948,50296,1
0.942,35105,1
0.7373333333333333,17368,1
0.7646666666666667,61748,1
1.022,44844,0
0.9553333333333334,42925,1
1.0813333333333333,38020,1
0.9966666666666667,54984,1
0.8373333333333334,59790,1
0.9566666666666667,49685,1
1.0073333333333334,33180,0
0.7993333333333333,48519,1
0.74,20258,0
0.81,51164,1
0.434,0,0
0.3993333333333333,59864,1
1.3306666666666667,-17340,0
0.44133333333333336,27223,1
1.34,-55350,2
0.9726666666666667,27892,1
0.5966666666666667,111425,1
0.7126666666666667,107646,1
1.5766666666666667,-58026,1
0.6913333333333334,50170,0
1.0213333333333334,19950,1
0.474,0,0
1.4433333333333334,-30635,1
1.1233333333333333,14396,1
1.004,39800,1
1.0033333333333334,46524,2
1.1606666666666667,22775,1
0.9026666666666666,52928,0
0.5813333333333334,82264,1
0.872,52284,0
0.7046666666666667,59392,1
0.9253333333333333,59544,0
0.9973333333333333,23504,1
1.03,23932,1
0.8713333333333333,64325,1
0.7473333333333333,19787,0
0.714,85305,1
0.8873333333333333,60490,2
0.704,73210,2
0.9653333333333334,55020,0
0.8993333333333333,50244,1
0.89,35804,1
0.47933333333333333,52184,1
0.6226666666666667,43422,0
0.488,76275,1
1.1613333333333333,-42,1
0.408,87795,1
0.8413333333333334,48595,1
0.7026666666666667,65500,0
0.8826666666666667,44615,0
0.7053333333333334,47584,0
0.85,55470,1
0.77,78510,1
0.7713333333333333,65908,1
0.8646666666666667,72050,1
0.6053333333333333,64020,1
0.9413333333333334,29556,1
1.114,38555,1
0.644,91690,1
0.66,24098,0
1.0073333333333334,22494,1
0.9286666666666666,39834,0
0.604,84324,1
1.0453333333333332,21685,1
0.524,99684,1
0.9326666666666666,67956,1
0.7993333333333333,50433,1
1.2333333333333334,15594,0
0.8173333333333334,36096,1
0.6126666666666667,20245,1
1.216,35730,0
0.9186666666666666,23624,1
0.306,36567,0
0.888,49216,1
0.8653333333333333,58464,0
0.7146666666666667,19680,0
0.7993333333333333,78816,2
0.86,68060,1
0.6213333333333333,39542,1
0.9313333333333333,52115,2
0.43333333333333335,0,0
0.622,46092,0
0.9473333333333334,43484,2
0.702,38412,0
0.8673333333333333,70364,2
1.0866666666666667,17705,0
0.4826666666666667,102868,2
1.168,15696,1
0.456,0,0
1.3726666666666667,-25734,1
1.1506666666666667,35232,1
1.3273333333333333,-7132,1
1.1886666666666668,14619,0
0.64,67554,1
0.984,13086,0
0.18,37548,0
0.8826666666666667,26612,0
1.174,-15568,1
0.7806666666666666,47235,0
0.7886666666666666,81078,2
1.2926666666666666,-15785,1
0.7853333333333333,60736,1
0.5966666666666667,44328,1
0.334,0,0
1.006,53376,0
0.4513333333333333,74190,2
0.876,65300,1
0.5673333333333334,62850,1
0.5606666666666666,67080,0
0.5386666666666666,108705,2
1.0206666666666666,26434,0
0.696,74168,1
0.42,57018,1
1.2253333333333334,20016,0
0.49133333333333334,53510,1
0.5633333333333334,61086,2
0.4246666666666667,54036,1
1.17,-3367,1
0.9653333333333334,38660,1
0.604,86104,1
1.2893333333333334,4888,0
1.312,-4360,1
0.4046666666666667,65698,0
0.6626666666666666,0,0
