q90_w_to_W,spare_cap_x_height_tail,n_long_and_wide
0.504,6072.25,1
0.548,1845.2142857142856,1
0.528,8167.555555555555,2
0.5640000000000001,5201.7,2
0.52,5690.454545454545,3
0.524,2501.0,2
0.524,1479.3000000000002,1
0.52,5739.090909090909,3
0.536,6508.333333333333,1
0.504,0.0,1
0.38399999999999995,13861.25,1
0.44799999999999995,4637.6,2
0.48,3721.0714285714284,1
0.48,9095.90909090909,1
0.528,5466.666666666666,2
0.504,7541.0,1
0.48,5178.333333333334,1
0.524,5053.6,2
0.48,2117.142857142857,1
0.45999999999999996,4019.333333333333,1
0.47200000000000003,9028.714285714284,2
0.56,3219.0,0
0.536,9037.777777777777,2
0.40800000000000003,9188.0,2
0.512,4022.769230769231,1
0.42000000000000004,16826.0,0
0.48,0.0,0
0.56,4175.555555555556,2
0.56,2376.0,0
0.516,2737.0,1
0.512,4209.2307692307695,1
0.44,5050.181818181818,2
0.516,16988.0,1
0.40800000000000003,7759.11111111111,2
0.552,1746.769230769231,1
0.524,8990.0,1
0.56,2434.6666666666665,1
0.56,5799.272727272727,1
0.556,1489.1666666666665,2
0.44,4025.090909090909,2
0.488,9545.555555555557,1
0.476,1743.75,2
0.56,4783.363636363636,0
0.556,5032.916666666667,1
0.4,5960.909090909091,2
0.52,5520.363636363637,1
0.56,6121.818181818182,1
0.48,1410.1538461538462,3
0.52,8521.333333333332,1
0.516,6061.0,2
0.56,2854.5,1
0.49199999999999994,9129.6,0
0.46399999999999997,13468.75,1
0.48,3699.8181818181815,1
0.516,2901.0,1
0.56,3076.8,1
0.524,1532.1000000000001,2
0.48,6711.272727272727,0
0.52,2694.0,1
0.56,1851.8181818181818,0
0.496,0.0,2
0.44,6502.272727272727,1
0.516,4422.333333333333,1
0.528,8233.0,2
0.516,4386.666666666666,1
0.488,593.3333333333333,2
0.508,3186.785714285714,1
0.436,3644.166666666667,2
0.536,9068.888888888889,1
0.56,3698.4,1
0.41600000000000004,8905.777777777777,1
0.44,2250.923076923077,2
0.44799999999999995,-1986.5263157894735,2
0.456,9838.888888888889,2
0.49199999999999994,2937.6000000000004,2
0.456,11669.333333333332,2
0.44,3404.333333333333,2
0.48,4702.545454545455,2
0.44799999999999995,8458.8,1
0.44,5164.583333333334,0
0.452,9157.0,2
0.508,4594.0,1
0.476,3173.333333333333,2
0.552,4845.384615384615,1
0.48,2371.6923076923076,2
0.544,9142.875,1
0.44,9271.818181818182,1
0.44,5604.090909090909,2
0.408,6479.200000000001,2
0.496,2219.777777777778,2
0.536,6671.0,1
0.528,8179.5,2
0.504,5368.888888888889,0
0.456,5734.285714285714,2
0.32,0.0,1
0.448,7524.444444444444,1
0.548,1581.0,1
0.444,5236.0,2
0.48,2964.727272727273,3
0.528,5747.099999999999,1
0.48,6903.272727272727,1
0.48,3849.333333333333,1
0.496,3666.6666666666665,2
0.44,5820.727272727273,1
0.556,935.25,1
0.516,4916.666666666667,1
0.556,979.25,2
0.556,1924.1666666666665,2
0.46399999999999997,0.0,1
0.52,38344.0,1
0.536,9116.444444444443,1
0.44,3688.75,2
0.504,-19.466666666666665,3
0.536,3564.8571428571427,0
0.552,2585.846153846154,1
0.46399999999999997,5868.200000000001,1
0.48,8535.454545454546,1
0.28,40954.0,1
0.524,3023.0,2
0.48,4396.909090909091,1
0.44,8681.4,2
0.476,5217.0,2
0.56,6160.727272727273,1
0.416,24524.666666666664,0
0.45999999999999996,18293.0,1
0.392,12961.142857142857,2
0.46399999999999997,0.0,0
0.41200000000000003,10649.0,1
0.516,5136.666666666667,2
0.42000000000000004,8146.0,2
0.544,0.0,0
0.548,3315.0,1
0.46799999999999997,0.0,0
0.552,1730.3076923076924,1
0.564,0.0,0
0.56,1761.2,1
0.45199999999999996,7091.200000000001,1
0.44,4049.818181818182,2
0.528,6668.8,2
0.44,7575.375,2
0.516,6712.5,1
0.552,6418.0,0
0.48799999999999993,0.0,1
0.44,3093.5454545454545,2
0.56,2052.8,0
0.56,5119.636363636363,0
0.48,5176.818181818182,2
0.528,6457.6,1
0.404,8477.0,1
0.49199999999999994,6920.0,2
0.52,4673.454545454545,1
0.48800000000000004,11570.571428571428,0
0.516,4639.583333333334,2
0.44,15046.285714285714,0
0.476,6918.75,0
0.49199999999999994,9622.800000000001,0
0.56,8056.888888888889,1
0.552,797.4615384615385,1
0.35200000000000004,10675.714285714284,2
0.512,3760.416666666667,2
0.436,2432.333333333333,3
0.508,2145.357142857143,2
0.44799999999999995,5401.0,3
0.392,0.0,0
0.44,3888.8181818181815,1
0.44,6041.363636363636,1
0.516,3045.25,1
0.48,5787.636363636364,1
0.528,0.0,0
0.52,2713.4545454545455,1
0.556,1148.25,1
0.528,5335.0,2
0.524,7124.5,2
0.44,3820.6666666666665,2
0.47200000000000003,4793.538461538462,0
0.516,6766.0,1
0.44,7211.11111111111,2
0.476,6405.0,0
0.54,-165.0,2
0.504,5736.222222222222,0
0.452,2919.625,1
0.56,-517.3529411764706,2
0.41200000000000003,8064.0,1
0.46399999999999997,0.0,1
0.528,2129.0,1
0.44,6009.545454545454,2
0.45599999999999996,12096.0,0
0.56,729.2142857142857,1
0.52,7349.090909090909,1
0.448,5712.0,1
0.348,20328.0,0
0.404,8348.5,2
0.44,0.0,0
0.444,5008.400000000001,3
0.56,4281.6,0
0.56,4303.0,0
0.516,3450.333333333333,2
0.49199999999999994,5858.4,2
0.5040000000000001,12461.333333333332,1
0.44,2654.875,1
0.46399999999999997,2102.6666666666665,1
0.508,2769.5,3
0.496,5041.777777777777,1
0.524,5781.200000000001,1
0.472,11060.0,0
0.552,1252.1538461538462,1
0.46799999999999997,16209.5,0
0.47200000000000003,7620.857142857142,3
0.436,9127.0,3
0.56,3988.090909090909,1
0.552,5535.0,0
0.408,4424.7,3
0.56,4823.555555555556,1
0.48,3896.3076923076924,1
0.41200000000000003,7535.25,2
0.404,6864.0,1
0.44,8752.333333333332,1
0.536,7221.714285714285,1
0.456,238.11764705882354,2
0.48,5708.727272727273,2
0.46,13070.0,1
0.468,3208.285714285714,2
0.516,10121.625,1
0.556,3563.75,1
0.47200000000000003,9808.285714285714,1
0.476,4025.333333333333,2
0.48,1981.8000000000002,3
0.48,2831.181818181818,3
0.528,6771.6,1
0.44,4690.545454545455,1
0.56,4324.363636363636,1
0.56,3719.8,1
0.476,2256.333333333333,2
0.56,3660.0,0
0.48,4858.181818181818,1
