feature,importance
spare_capacity,0.3117022095244916
wl_to_vehicle_wl_total,0.140903744656589
sku_counts,0.06526080097684163
sku_average_volume,0.06380506228442517
wl_to_vehicle_wl_max,0.0344938866157653
h_to_H_ratio_avg,0.03003505396418698
sku_height_avg,0.02750391761350604
wl_to_vehicle_wl_std,0.024661796098711778
wl_to_vehicle_wl_avg,0.0231487613958353
sku_length_avg,0.018991120369299837
l_to_L_ratio_avg,0.017739585279912987
sku_concentration,0.014493961703958143
w_to_W_ratio_avg,0.01421974109714235
sku_width_avg,0.014062100478021462
sku_height_var,0.013391656458945262
w_to_W_ratio_std,0.012681070511490826
l_to_L_ratio_std,0.012588557571599443
sku_std_width,0.012507478555739351
sku_std_height,0.012480508228132507
h_to_H_ratio_std,0.012474655513867124
sku_std_length,0.012365357832688726
sku_length_var,0.012173380652856034
sku_width_var,0.011942014538793688
max_asr,0.01132875723886844
wl_to_vehicle_wl_min,0.010606869002938207
l_to_L_ratio_max,0.007011942847534483
sku_max_length,0.006923509427257219
sku_max_width,0.006217045870442493
sku_max_height,0.005990258325394586
h_to_H_ratio_max,0.005845469493003123
w_to_W_ratio_max,0.0056199150531066056
sku_min_height,0.005269262465325243
sku_min_length,0.005147321616991064
l_to_L_ratio_min,0.004899601461689138
h_to_H_ratio_min,0.004717088053863991
w_to_W_ratio_min,0.003477361305778034
sku_min_width,0.00331917591500677
vehicle_height,0.0
vehicle_width,0.0
vehicle_length,0.0
