feature,recovered_mean,whole_mean,harmed_mean,delta_recovered_vs_whole,delta_recovered_vs_harmed
spare_capacity,9959.272727272728,16311.7444,8901.576923076924,-6352.471672727272,1057.6958041958042
sku_average_volume,3223.722329121212,2907.5297799456002,3083.572289884615,316.19254917561193,140.15003923659697
wl_to_vehicle_wl_total,1160.9595959757576,991.206333335148,1231.3942308076923,169.7532626406096,-70.43463483193477
wl_to_vehicle_wl_max,181.5404040409091,165.87083333343597,168.65384615384616,15.669570707473127,12.886557887062935
wl_to_vehicle_wl_avg,105.07704067909091,99.820637133172,104.07663074769229,5.256403545918914,1.0004099313986217
wl_to_vehicle_wl_std,41.12122492333334,36.691191452260796,38.2314193126923,4.430033471072541,2.8898056106410337
sku_counts,11.287878787878787,10.0364,12.0,1.2514787878787867,-0.7121212121212128
sku_length_var,44.8579912060606,43.8682508223272,50.02981771192309,0.9897403837334053,-5.171826505862484
sku_max_length,34.21212121212121,33.5912,34.53846153846154,0.6209212121212104,-0.32634032634032906
sku_height_avg,12.680536387878789,12.1621290679272,12.325366566923078,0.5184073199515886,0.3551698209557106
sku_length_avg,24.372745292878786,24.022217351024,24.802293326153844,0.35052794185478575,-0.42954803327505786
sku_max_height,17.227272727272727,16.8824,17.03846153846154,0.3448727272727261,0.18881118881118653
sku_width_var,7.840445458015152,7.49746338729,7.459502407153845,0.3429820707251521,0.38094305086130653
sku_max_width,14.424242424242424,14.0892,14.153846153846153,0.3350424242424239,0.27039627039627057
sku_height_var,10.76549415380303,11.083007826148402,10.926413061192308,-0.3175136723453722,-0.16091890738927894
sku_min_length,14.393939393939394,14.0924,13.961538461538462,0.3015393939393949,0.4324009324009328
sku_width_avg,10.344320919742424,10.043249468108,10.132221251423077,0.3010714516344244,0.2120996683193468
wl_to_vehicle_wl_min,48.40277777787879,48.12383333293201,44.56730769192307,0.27894444494678083,3.83547008595572
sku_min_height,7.409090909090909,7.282,7.384615384615385,0.12709090909090914,0.024475524475524146
max_asr,5.062463924954545,4.945312923752,5.0439701324615385,0.1171510012025454,0.018493792493006644
sku_std_length,6.614759154666667,6.5041655067328,7.019394361615385,0.11059364793386717,-0.4046352069487176
sku_min_width,6.0606060606060606,5.974,5.8076923076923075,0.08660606060606035,0.25291375291375306
sku_std_width,2.753718972833333,2.6813257341712,2.6843285697307695,0.0723932386621331,0.06939040310256361
sku_std_height,3.2420939343939392,3.2696926106132,3.279456705346154,-0.02759867621926082,-0.03736277095221485
l_to_L_ratio_max,0.5702020202272726,0.5598533333151999,0.5756410256923077,0.010348686912072691,-0.005439005465035063
h_to_H_ratio_avg,0.21134227309090908,0.20270215112239998,0.2054227760769231,0.008640121968509107,0.005919497013985975
l_to_L_ratio_avg,0.4062124215,0.40037028918199996,0.41337155542307696,0.005842132318000015,-0.007159133923076988
h_to_H_ratio_max,0.2871212120303031,0.2813733332788,0.28397435892307693,0.0057478787515031216,0.0031468531072261774
w_to_W_ratio_max,0.24040404034848484,0.23481999993359995,0.23589743584615386,0.005584040414884889,0.00450660450233098
l_to_L_ratio_min,0.2398989899393939,0.2348733334044,0.23269230780769234,0.0050256565349939,0.007206682131701558
w_to_W_ratio_avg,0.17240534865151513,0.1673874911432,0.16887035426923075,0.005017857508315127,0.0035349943822843843
sku_concentration,0.2671541945454545,0.271239597694,0.2735227590384615,-0.004085403148545497,-0.00636856449300699
h_to_H_ratio_min,0.12348484859090911,0.1213666667492,0.12307692307692308,0.002118181841709102,0.00040792551398602384
l_to_L_ratio_std,0.11024598592424241,0.1084027584508,0.11698990607692308,0.0018432274734424131,-0.006743920152680674
w_to_W_ratio_min,0.10101010087878787,0.099566666562,0.09679487173076924,0.0014434343167878672,0.004215229148018626
w_to_W_ratio_std,0.04589531625757576,0.04468876223999999,0.04473880953846154,0.0012065540175757658,0.0011565067191142211
h_to_H_ratio_std,0.054034898893939386,0.05449487684640001,0.05465761169230769,-0.00045997795246062456,-0.0006227127983683065
vehicle_height,30.0,30.0,30.0,0.0,0.0
vehicle_width,25.0,25.0,25.0,0.0,0.0
vehicle_length,60.0,60.0,60.0,0.0,0.0
